Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
2,137,0.548137917,0.615748547,0.1,4,0.9,polynomial,,0.018976793,0.005905101
2,138,0.547338152,0.615707956,0.09,5,0.5,polynomial,,0.02147736,0.006172539
2,139,0.547051223,0.616348402,0.09,4,0.9,polynomial,,0.019447162,0.005928112
2,140,0.545256873,0.617287791,0.07,5,0.5,polynomial,,0.022558534,0.006206418
2,141,0.545228155,0.617545877,0.01,5,0.3,polynomial,,0.018791121,0.006098814
2,142,0.544569725,0.617848778,0.1,4,1,polynomial,,0.021126478,0.005990622
2,143,0.544405331,0.617815191,0.07,4,0.9,polynomial,,0.020938346,0.005978599
2,144,0.543879078,0.606764279,0.03,3,0.9,polynomial,,0.041214741,0.005738541
2,145,0.543554874,0.617772136,0.03,4,0.7,polynomial,,0.021424556,0.005946973
2,146,0.543455519,0.618481127,0.09,4,1,polynomial,,0.022043313,0.006009603
2,147,0.542038184,0.619473324,0.05,5,0.5,polynomial,,0.024946752,0.006234881
2,148,0.541441612,0.617620095,0.01,4,0.5,polynomial,,0.02494418,0.005892406
2,149,0.540693226,0.620021765,0.07,4,1,polynomial,,0.024951273,0.006048638
2,150,0.540685186,0.619855352,0.05,4,0.9,polynomial,,0.024135284,0.006033939
2,151,0.538108054,0.607875686,0.03,3,1,polynomial,,0.04954606,0.005644183
2,152,0.536663387,0.622144453,0.05,4,1,polynomial,,0.030788942,0.006087003
2,153,0.535559536,0.622933806,0.03,5,0.5,polynomial,,0.031420605,0.006241552
2,154,0.53435443,0.62308473,0.03,4,0.9,polynomial,,0.032935758,0.006088892
2,155,0.533613235,0.608360435,0.01,3,0.7,polynomial,,0.057179573,0.005590525
2,156,0.532480584,0.623809252,0.1,5,0.7,polynomial,,0.03919802,0.006284819
2,157,0.530697493,0.624558911,0.09,5,0.7,polynomial,,0.041614125,0.006278496
2,158,0.529489447,0.625444657,0.03,4,1,polynomial,,0.044389946,0.006119334
2,159,0.529336291,0.624618654,0.01,4,0.7,polynomial,,0.03605981,0.006078535
2,160,0.52578778,0.626357019,0.07,5,0.7,polynomial,,0.048218108,0.006258617
2,161,0.519887291,0.610972079,0.01,3,0.9,polynomial,,0.075943199,0.005471585
2,162,0.517711951,0.628777243,0.05,5,0.7,polynomial,,0.058753855,0.006225351
2,163,0.516646827,0.630179957,0.01,4,0.9,polynomial,,0.068194509,0.006127734
2,164,0.516023075,0.612130837,0.01,3,1,polynomial,,0.079220308,0.005455735
2,165,0.511802334,0.630646333,0.01,5,0.5,polynomial,,0.059367402,0.0061718
2,166,0.509417481,0.632536308,0.01,4,1,polynomial,,0.083095149,0.006140687
2,167,0.505212643,0.631271838,0.1,5,0.9,polynomial,,0.076432645,0.006204333
2,168,0.502626502,0.632471105,0.03,5,0.7,polynomial,,0.07676774,0.006174323
2,169,0.501690297,0.632049575,0.09,5,0.9,polynomial,,0.080322152,0.006191519
2,170,0.492928874,0.633916519,0.07,5,0.9,polynomial,,0.089050689,0.006163615
2,171,0.488105965,0.634586945,0.1,5,1,polynomial,,0.093877093,0.006155314
2,172,0.484247283,0.635386698,0.09,5,1,polynomial,,0.096822763,0.006144904
2,173,0.481017154,0.636454892,0.05,5,0.9,polynomial,,0.098184776,0.006136015
2,174,0.475253931,0.637318506,0.07,5,1,polynomial,,0.102068327,0.00612583
2,175,0.468794902,0.640720523,0.01,5,0.7,polynomial,,0.09867675,0.006151592
2,176,0.46470909,0.640443412,0.03,5,0.9,polynomial,,0.10266219,0.006125551
2,177,0.464344878,0.639972443,0.05,5,1,polynomial,,0.104282222,0.006115508
2,178,0.451873586,0.644192836,0.03,5,1,polynomial,,0.097241517,0.006135668
2,179,0.444469946,0.649856002,0.01,5,0.9,polynomial,,0.083895169,0.006226993
2,180,0.43673608,0.654161533,0.01,5,1,polynomial,,0.089168428,0.006252728
