Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
2,1,0.575937898,0.609268596,0.01,,0.5,rbf,,0.025844849,0.00635823
2,2,0.575627871,0.606842918,0.03,,0.7,rbf,,0.026142516,0.006433358
2,3,0.575408768,0.601554642,0.01,,0.3,rbf,,0.023005156,0.005929005
2,4,0.575347481,0.601468722,0.03,,0.5,rbf,,0.024299956,0.006037056
2,5,0.574887501,0.602546582,0.05,,0.7,rbf,,0.025301013,0.006221424
2,6,0.574581657,0.61109836,0.03,,0.9,rbf,,0.027912569,0.006809448
2,7,0.57453693,0.606715948,0.05,,0.9,rbf,,0.02665394,0.00657412
2,8,0.574241228,0.614843434,0.01,,0.7,rbf,,0.028802253,0.006805811
2,9,0.57405621,0.597187777,0.05,,0.5,rbf,,0.023882561,0.00586076
2,10,0.574000422,0.608544125,0.05,,1,rbf,,0.027320994,0.006741179
2,11,0.573983555,0.599427592,0.07,,0.7,rbf,,0.024902497,0.006074122
2,12,0.573932696,0.603524463,0.07,,0.9,rbf,,0.026004193,0.00640691
2,13,0.573662678,0.61297121,0.03,,1,rbf,,0.028773202,0.006978688
2,14,0.573594954,0.605318585,0.07,,1,rbf,,0.026553043,0.006566711
2,15,0.573201525,0.600956212,0.09,,0.9,rbf,,0.025617712,0.006278933
2,16,0.573111173,0.596932106,0.09,,0.7,rbf,,0.024696418,0.005963122
2,17,0.572973432,0.602716593,0.09,,1,rbf,,0.026083547,0.00643175
2,18,0.572908072,0.594091419,0.07,,0.5,rbf,,0.023762256,0.005743676
2,19,0.572826899,0.599829177,0.1,,0.9,rbf,,0.025482136,0.00622501
2,20,0.572695969,0.595841246,0.1,,0.7,rbf,,0.024634919,0.00591709
2,21,0.572634251,0.601572541,0.1,,1,rbf,,0.0259144,0.006374625
2,22,0.572227375,0.593162194,0.03,,0.3,rbf,,0.022263765,0.00570475
2,23,0.571901735,0.591631167,0.09,,0.5,rbf,,0.023763197,0.005660525
2,24,0.571440447,0.590561472,0.1,,0.5,rbf,,0.023787379,0.005627612
2,25,0.571242165,0.619430236,0.01,,0.9,rbf,,0.031618364,0.007149451
2,26,0.570126731,0.588604987,0.05,,0.3,rbf,,0.022251228,0.005584175
2,27,0.569877825,0.588018672,0.07,2,1,polynomial,,0.019997231,0.006473486
2,28,0.569859972,0.588523285,0.05,2,0.9,polynomial,,0.01980412,0.006511037
2,29,0.569858838,0.599194046,0.01,5,0.1,polynomial,,0.019112804,0.005709479
2,30,0.56983436,0.589225926,0.05,2,1,polynomial,,0.01963374,0.00655633
2,31,0.569750085,0.588625472,0.03,2,0.7,polynomial,,0.019641159,0.006524689
2,32,0.569691014,0.587007457,0.09,2,1,polynomial,,0.020225937,0.006403734
2,33,0.569685351,0.587224488,0.07,2,0.9,polynomial,,0.020092685,0.006419704
2,34,0.569562671,0.586553427,0.1,2,1,polynomial,,0.020315518,0.006372745
2,35,0.569532018,0.621495863,0.01,,1,rbf,,0.032796419,0.007273579
2,36,0.56947939,0.601704709,0.05,4,0.3,polynomial,,0.01803412,0.005626292
2,37,0.569411139,0.590197476,0.03,2,0.9,polynomial,,0.019205161,0.006625114
2,38,0.569382954,0.59969106,0.07,4,0.3,polynomial,,0.01875584,0.005662814
2,39,0.569362454,0.586634495,0.05,2,0.7,polynomial,,0.019950235,0.006378693
2,40,0.56935982,0.586139179,0.09,2,0.9,polynomial,,0.02028239,0.006344155
2,41,0.569354376,0.590062719,0.01,2,0.5,polynomial,,0.019154994,0.00663587
2,42,0.569177246,0.58565307,0.1,2,0.9,polynomial,,0.020359502,0.006311063
2,43,0.568951095,0.598022207,0.09,4,0.3,polynomial,,0.019257719,0.005688831
2,44,0.568915414,0.586065903,0.03,2,0.5,polynomial,,0.019639082,0.006334922
2,45,0.568901619,0.590781076,0.03,2,1,polynomial,,0.018905176,0.00665909
2,46,0.568763388,0.585104193,0.07,2,0.7,polynomial,,0.020125493,0.00626871
2,47,0.568755558,0.586545552,0.01,2,0.3,polynomial,,0.019128154,0.006372886
2,48,0.568693878,0.597276734,0.1,4,0.3,polynomial,,0.019458247,0.005698635
2,49,0.568685438,0.585472948,0.07,,0.3,rbf,,0.022432456,0.005508371
2,50,0.56832222,0.604374501,0.03,4,0.3,polynomial,,0.016927214,0.005578765
2,51,0.568157396,0.583841816,0.09,2,0.7,polynomial,,0.020266742,0.006183271
2,52,0.567865387,0.583281969,0.1,2,0.7,polynomial,,0.020331543,0.00614742
2,53,0.567751907,0.58362344,0.05,2,0.5,polynomial,,0.019777355,0.006153821
2,54,0.567590926,0.583086387,0.09,,0.3,rbf,,0.022677488,0.0054572
2,55,0.567123368,0.582073744,0.1,,0.3,rbf,,0.022808154,0.005437912
2,56,0.567055209,0.59180342,0.01,2,0.7,polynomial,,0.01848201,0.006737063
2,57,0.566742096,0.581808653,0.07,2,0.5,polynomial,,0.019932389,0.006035043
2,58,0.566608598,0.593186025,0.03,3,0.3,polynomial,,0.020321165,0.006505763
2,59,0.566453011,0.592275402,0.01,4,0.1,polynomial,,0.019792242,0.006098858
2,60,0.566181,0.595447529,0.07,3,0.5,polynomial,,0.020319134,0.006487762
2,61,0.566163975,0.59388419,0.09,3,0.5,polynomial,,0.020449793,0.006483007
2,62,0.566098006,0.593199171,0.1,3,0.5,polynomial,,0.020501773,0.006475254
2,63,0.565889911,0.581222147,0.03,2,0.3,polynomial,,0.019070909,0.005962693
2,64,0.565879799,0.58034925,0.09,2,0.5,polynomial,,0.020100403,0.005952048
2,65,0.565855635,0.606019817,0.1,4,0.5,polynomial,,0.016279958,0.005559923
2,66,0.565818581,0.597392069,0.05,3,0.5,polynomial,,0.020129679,0.006461521
2,67,0.565808477,0.59132661,0.03,5,0.1,polynomial,,0.019784281,0.00576622
2,68,0.565763406,0.589863471,0.05,3,0.3,polynomial,,0.020185634,0.006417799
2,69,0.56575882,0.599214685,0.01,3,0.3,polynomial,,0.020078341,0.006427792
2,70,0.565492095,0.579710225,0.1,2,0.5,polynomial,,0.020187006,0.005919441
2,71,0.565186742,0.60653524,0.09,4,0.5,polynomial,,0.016199467,0.005563366
2,72,0.565098405,0.605007259,0.1,5,0.3,polynomial,,0.016910131,0.005686806
2,73,0.565004658,0.587505647,0.07,3,0.3,polynomial,,0.020128498,0.006325811
2,74,0.564796335,0.598163334,0.1,3,0.7,polynomial,,0.019942895,0.006411454
2,75,0.564448177,0.598743508,0.09,3,0.7,polynomial,,0.019925863,0.006390721
2,76,0.5644337,0.605564328,0.09,5,0.3,polynomial,,0.01688819,0.005708146
2,77,0.564354086,0.585666146,0.09,3,0.3,polynomial,,0.02013215,0.006242356
2,78,0.564182798,0.582692646,0.01,,0.1,rbf,,0.018545827,0.005703566
2,79,0.564116544,0.578285617,0.05,2,0.3,polynomial,,0.01937949,0.005798547
2,80,0.564084695,0.60006005,0.03,3,0.5,polynomial,,0.020045693,0.006350056
2,81,0.564060566,0.584876437,0.1,3,0.3,polynomial,,0.020148882,0.006204138
2,82,0.563603168,0.584177459,0.01,3,0.1,polynomial,,0.018019513,0.006124648
2,83,0.563593123,0.586926836,0.05,5,0.1,polynomial,,0.019913085,0.00571879
2,84,0.563344059,0.607740573,0.07,4,0.5,polynomial,,0.016154675,0.005576268
2,85,0.563321155,0.600068647,0.07,3,0.7,polynomial,,0.020065309,0.006327376
2,86,0.562819432,0.576170189,0.07,2,0.3,polynomial,,0.019768639,0.005713909
2,87,0.562735936,0.583947464,0.03,4,0.1,polynomial,,0.019013384,0.005906553
2,88,0.562697667,0.60687711,0.07,5,0.3,polynomial,,0.016892881,0.00575832
2,89,0.56219428,0.583862142,0.07,5,0.1,polynomial,,0.02008513,0.005663036
2,90,0.562032811,0.592876338,0.01,2,0.9,polynomial,,0.020759901,0.006796987
2,91,0.561831445,0.575229487,0.03,,0.1,rbf,,0.019619654,0.005348584
2,92,0.561746882,0.57445626,0.09,2,0.3,polynomial,,0.020171981,0.005664092
2,93,0.561480017,0.575813165,0.01,2,0.1,polynomial,,0.017649698,0.005599224
2,94,0.561260649,0.573693724,0.1,2,0.3,polynomial,,0.020372074,0.005646594
2,95,0.561175203,0.581517021,0.09,5,0.1,polynomial,,0.020287541,0.005613166
2,96,0.561097104,0.57991453,0.05,4,0.1,polynomial,,0.019113613,0.00573191
2,97,0.561037738,0.60172712,0.05,3,0.7,polynomial,,0.021017339,0.006216121
2,98,0.56077341,0.601512805,0.1,3,0.9,polynomial,,0.021027638,0.006219996
2,99,0.560749271,0.580523127,0.1,5,0.1,polynomial,,0.020393398,0.005591045
2,100,0.560715798,0.571678022,0.05,,0.1,rbf,,0.021186512,0.005252813
2,101,0.560401196,0.577003322,0.03,3,0.1,polynomial,,0.018045365,0.005629055
2,102,0.560385815,0.609331293,0.05,4,0.5,polynomial,,0.016499894,0.005605345
2,103,0.560128824,0.608623595,0.05,5,0.3,polynomial,,0.016970412,0.00582413
2,104,0.559992514,0.577225733,0.07,4,0.1,polynomial,,0.019423833,0.005612654
2,105,0.559886541,0.602025704,0.09,3,0.9,polynomial,,0.021624707,0.006181966
2,106,0.559671881,0.569098169,0.07,,0.1,rbf,,0.022512198,0.005240135
2,107,0.559629141,0.609350597,0.01,4,0.3,polynomial,,0.017713427,0.005555247
2,108,0.559109844,0.575180734,0.09,4,0.1,polynomial,,0.019786912,0.005529414
2,109,0.558821433,0.573453827,0.05,3,0.1,polynomial,,0.018867583,0.005446955
2,110,0.558714575,0.574307013,0.1,4,0.1,polynomial,,0.01997241,0.005497058
2,111,0.558617613,0.566959825,0.09,,0.1,rbf,,0.023594935,0.005263488
2,112,0.558401787,0.593277116,0.01,2,1,polynomial,,0.024750944,0.006820369
2,113,0.558084891,0.565992911,0.1,,0.1,rbf,,0.024060317,0.005282296
2,114,0.55796394,0.602833688,0.1,3,1,polynomial,,0.023154978,0.006113018
2,115,0.557584874,0.570907133,0.07,3,0.1,polynomial,,0.019719624,0.005363693
2,116,0.557341365,0.603201746,0.07,3,0.9,polynomial,,0.02381218,0.006084016
2,117,0.557002088,0.568543651,0.03,2,0.1,polynomial,,0.019606946,0.005473764
2,118,0.55679819,0.603321156,0.09,3,1,polynomial,,0.02429169,0.006070999
2,119,0.556501241,0.611265507,0.1,4,0.7,polynomial,,0.016969314,0.005693501
2,120,0.556474143,0.568822168,0.09,3,0.1,polynomial,,0.02051604,0.005323075
2,121,0.555945604,0.567887463,0.1,3,0.1,polynomial,,0.02088955,0.005311852
2,122,0.555903061,0.611310262,0.03,5,0.3,polynomial,,0.017107333,0.005921697
2,123,0.555452176,0.611796759,0.09,4,0.7,polynomial,,0.017196037,0.005714288
2,124,0.555446782,0.604029461,0.03,3,0.7,polynomial,,0.025950204,0.006009713
2,125,0.555037653,0.611782563,0.03,4,0.5,polynomial,,0.018089603,0.005677158
2,126,0.554170494,0.564208243,0.05,2,0.1,polynomial,,0.021260617,0.005481448
2,127,0.553558925,0.604440784,0.07,3,1,polynomial,,0.027937065,0.005967403
2,128,0.552905817,0.604682156,0.05,3,0.9,polynomial,,0.028804525,0.005944103
2,129,0.552868645,0.613086686,0.07,4,0.7,polynomial,,0.01784776,0.005767258
2,130,0.552182368,0.604922578,0.01,3,0.5,polynomial,,0.030187292,0.00591551
2,131,0.552008434,0.560982727,0.07,2,0.1,polynomial,,0.022610975,0.005516925
2,132,0.550252955,0.558403788,0.09,2,0.1,polynomial,,0.023725372,0.005567539
2,133,0.549482863,0.557284461,0.1,2,0.1,polynomial,,0.024209915,0.005596373
2,134,0.549270431,0.614878522,0.05,4,0.7,polynomial,,0.018967467,0.005841633
2,135,0.548196297,0.605856674,0.05,3,1,polynomial,,0.034962928,0.005828894
2,136,0.548159711,0.615058128,0.1,5,0.5,polynomial,,0.021152878,0.006155369
