Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
3,1,0.584409476,0.619536429,0.03,,1,rbf,,0.027644862,0.006550336
3,2,0.584261601,0.617339804,0.03,,0.9,rbf,,0.026594347,0.006403248
3,3,0.584099034,0.626539143,0.01,,0.9,rbf,,0.031671697,0.006841997
3,4,0.584068933,0.621237337,0.01,,0.7,rbf,,0.028325019,0.006642959
3,5,0.583753732,0.628806089,0.01,,1,rbf,,0.032785857,0.006877798
3,6,0.583272799,0.614635818,0.05,,1,rbf,,0.02563396,0.006226742
3,7,0.583241098,0.612309012,0.03,,0.7,rbf,,0.024274166,0.005976897
3,8,0.583069353,0.61460592,0.01,,0.5,rbf,,0.024038058,0.006098722
3,9,0.582933078,0.612490565,0.05,,0.9,rbf,,0.024823161,0.006054086
3,10,0.581998236,0.611113951,0.07,,1,rbf,,0.024562189,0.005987082
3,11,0.581704723,0.607621448,0.05,,0.7,rbf,,0.023171451,0.005631525
3,12,0.58159615,0.6090226,0.07,,0.9,rbf,,0.023916984,0.005813986
3,13,0.581479114,0.606096173,0.03,,0.5,rbf,,0.02209137,0.005441769
3,14,0.581104378,0.605826926,0.01,,0.3,rbf,,0.020623353,0.005405753
3,15,0.580799649,0.608317542,0.09,,1,rbf,,0.023893813,0.005806524
3,16,0.580392288,0.606282455,0.09,,0.9,rbf,,0.023365075,0.005639969
3,17,0.580385923,0.604305971,0.07,,0.7,rbf,,0.022656397,0.005425116
3,18,0.580240016,0.607102351,0.1,,1,rbf,,0.023646139,0.005731973
3,19,0.579900979,0.601617333,0.05,,0.5,rbf,,0.021691087,0.005208354
3,20,0.579841063,0.60509575,0.1,,0.9,rbf,,0.023163468,0.00556949
3,21,0.579270938,0.601715551,0.09,,0.7,rbf,,0.022362912,0.005286219
3,22,0.578772767,0.600601555,0.1,,0.7,rbf,,0.022260721,0.005232157
3,23,0.578642625,0.598488343,0.07,,0.5,rbf,,0.021544025,0.005085484
3,24,0.577959444,0.597322536,0.03,,0.3,rbf,,0.020227798,0.005117108
3,25,0.57759921,0.596067775,0.09,,0.5,rbf,,0.021482812,0.005008341
3,26,0.577134499,0.59503216,0.1,,0.5,rbf,,0.021467965,0.004979375
3,27,0.57592087,0.59292441,0.05,,0.3,rbf,,0.020229728,0.005018686
3,28,0.575620868,0.603028731,0.01,5,0.1,polynomial,,0.016574484,0.005350313
3,29,0.575504753,0.594467389,0.03,2,0.9,polynomial,,0.016460837,0.006012718
3,30,0.575489644,0.594981809,0.03,2,1,polynomial,,0.016514274,0.006068513
3,31,0.575475323,0.593544944,0.05,2,1,polynomial,,0.01647801,0.005914878
3,32,0.575384697,0.594407784,0.01,2,0.5,polynomial,,0.016364287,0.006017435
3,33,0.575381965,0.605224914,0.05,4,0.3,polynomial,,0.016504672,0.005475217
3,34,0.575344699,0.592887431,0.05,2,0.9,polynomial,,0.016478045,0.005853786
3,35,0.575300267,0.595883819,0.01,2,0.7,polynomial,,0.016797539,0.006186153
3,36,0.575281485,0.593019973,0.03,2,0.7,polynomial,,0.0163587,0.005868925
3,37,0.575274922,0.592385166,0.07,2,1,polynomial,,0.016571085,0.005808096
3,38,0.575084029,0.603262271,0.07,4,0.3,polynomial,,0.016685803,0.005392918
3,39,0.575028727,0.591633146,0.07,2,0.9,polynomial,,0.016583338,0.005745312
3,40,0.575006739,0.591408116,0.09,2,1,polynomial,,0.016678022,0.005727544
3,41,0.574962194,0.596704222,0.01,2,0.9,polynomial,,0.017218243,0.006287397
3,42,0.574861387,0.590971086,0.1,2,1,polynomial,,0.016727442,0.005693757
3,43,0.574836831,0.607791004,0.03,4,0.3,polynomial,,0.016467376,0.005611068
3,44,0.574788584,0.596995184,0.01,2,1,polynomial,,0.017444152,0.006324721
3,45,0.574717457,0.591098947,0.05,2,0.7,polynomial,,0.016436581,0.005701059
3,46,0.57466699,0.590589185,0.09,2,0.9,polynomial,,0.016684343,0.005663876
3,47,0.5745527,0.601614315,0.09,4,0.3,polynomial,,0.016897577,0.00533591
3,48,0.574524257,0.589966374,0.07,,0.3,rbf,,0.020317849,0.004957398
3,49,0.574481325,0.590125366,0.1,2,0.9,polynomial,,0.016727767,0.005629729
3,50,0.574303985,0.590592566,0.03,2,0.5,polynomial,,0.016158853,0.005657244
3,51,0.574258697,0.600871985,0.1,4,0.3,polynomial,,0.017004591,0.005313336
3,52,0.574205173,0.591103268,0.01,2,0.3,polynomial,,0.015741445,0.005697393
3,53,0.574107672,0.589637098,0.07,2,0.7,polynomial,,0.016522631,0.005589101
3,54,0.573524016,0.588452132,0.09,2,0.7,polynomial,,0.016583834,0.005505422
3,55,0.573464169,0.587737179,0.09,,0.3,rbf,,0.020436569,0.004912888
3,56,0.573246783,0.587932614,0.1,2,0.7,polynomial,,0.016606984,0.0054704
3,57,0.573163692,0.588281684,0.05,2,0.5,polynomial,,0.016185474,0.005481603
3,58,0.573027701,0.608940623,0.1,5,0.3,polynomial,,0.016645681,0.005704097
3,59,0.573011748,0.58679607,0.1,,0.3,rbf,,0.020500122,0.004894807
3,60,0.572946208,0.609331092,0.1,4,0.5,polynomial,,0.017229002,0.005743443
3,61,0.572832083,0.602832461,0.01,3,0.3,polynomial,,0.017593756,0.00603995
3,62,0.572470249,0.609822147,0.09,4,0.5,polynomial,,0.0173516,0.005781705
3,63,0.572422508,0.609480653,0.09,5,0.3,polynomial,,0.01677371,0.005761349
3,64,0.572349551,0.601034107,0.05,3,0.5,polynomial,,0.017481753,0.005996033
3,65,0.572324906,0.597010744,0.03,3,0.3,polynomial,,0.017159446,0.005887644
3,66,0.572284851,0.599134846,0.07,3,0.5,polynomial,,0.017463079,0.005944122
3,67,0.57220037,0.586607296,0.07,2,0.5,polynomial,,0.016203423,0.005367007
3,68,0.572032377,0.597579045,0.09,3,0.5,polynomial,,0.01747176,0.005892382
3,69,0.571879681,0.596890682,0.1,3,0.5,polynomial,,0.017486117,0.005868359
3,70,0.571857816,0.596113111,0.01,4,0.1,polynomial,,0.01681785,0.005536919
3,71,0.571777282,0.603570485,0.03,3,0.5,polynomial,,0.017468711,0.006028429
3,72,0.571748923,0.601707133,0.1,3,0.7,polynomial,,0.017447928,0.005999693
3,73,0.571634574,0.602265097,0.09,3,0.7,polynomial,,0.017432177,0.006009189
3,74,0.571397765,0.586098227,0.03,2,0.3,polynomial,,0.015470385,0.005308246
3,75,0.571377196,0.585277534,0.09,2,0.5,polynomial,,0.01622534,0.005283173
3,76,0.571309604,0.595149266,0.03,5,0.1,polynomial,,0.017178021,0.005208081
3,77,0.571223674,0.593665664,0.05,3,0.3,polynomial,,0.017027348,0.00576172
3,78,0.571211371,0.603526509,0.07,3,0.7,polynomial,,0.017387996,0.006022522
3,79,0.571153458,0.610968835,0.07,4,0.5,polynomial,,0.017678837,0.005872999
3,80,0.571005178,0.584697153,0.1,2,0.5,polynomial,,0.016240809,0.005248696
3,81,0.570769733,0.610748628,0.07,5,0.3,polynomial,,0.017131105,0.00589548
3,82,0.570334351,0.591289538,0.07,3,0.3,polynomial,,0.017032042,0.005672392
3,83,0.570306815,0.60508284,0.05,3,0.7,polynomial,,0.017297221,0.00602295
3,84,0.570165036,0.587308086,0.01,,0.1,rbf,,0.016512289,0.005181993
3,85,0.570014606,0.604844626,0.1,3,0.9,polynomial,,0.017255614,0.006024625
3,86,0.569723988,0.612522788,0.01,4,0.3,polynomial,,0.017198589,0.005933729
3,87,0.569661157,0.605325559,0.09,3,0.9,polynomial,,0.017224897,0.006023558
3,88,0.569657373,0.583420452,0.05,2,0.3,polynomial,,0.015452594,0.005140442
3,89,0.569613071,0.589457403,0.09,3,0.3,polynomial,,0.017078044,0.005602077
3,90,0.569298452,0.58867977,0.1,3,0.3,polynomial,,0.01710641,0.005571336
