Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
0,1,0.569732475,0.59699192,0.03,,0.5,rbf,,0.01255895,0.003201627
0,2,0.569572005,0.601432044,0.03,,0.7,rbf,,0.013492256,0.003248074
0,3,0.569489076,0.603593853,0.01,,0.5,rbf,,0.014745609,0.003245042
0,4,0.569390709,0.597764199,0.05,,0.7,rbf,,0.012274668,0.00319497
0,5,0.569342341,0.597241759,0.01,,0.3,rbf,,0.01337095,0.003212725
0,6,0.569050216,0.59343011,0.05,,0.5,rbf,,0.011765096,0.003087013
0,7,0.568930249,0.595134822,0.07,,0.7,rbf,,0.011637877,0.003115453
0,8,0.568914401,0.601307367,0.05,,0.9,rbf,,0.013108875,0.00322456
0,9,0.568692892,0.605194713,0.03,,0.9,rbf,,0.014600413,0.003199298
0,10,0.56863378,0.598542235,0.07,,0.9,rbf,,0.012188171,0.00318968
0,11,0.568513634,0.602925217,0.05,,1,rbf,,0.013589808,0.003215097
0,12,0.568411821,0.593045184,0.09,,0.7,rbf,,0.011305039,0.00303992
0,13,0.568351641,0.590875962,0.07,,0.5,rbf,,0.011421507,0.002998292
0,14,0.568328719,0.600089186,0.07,,1,rbf,,0.012566384,0.003203256
0,15,0.568197321,0.596341117,0.09,,0.9,rbf,,0.011613933,0.003135966
0,16,0.568148759,0.592135083,0.1,,0.7,rbf,,0.011209432,0.003005827
0,17,0.568120644,0.606929869,0.03,,1,rbf,,0.015179734,0.003159995
0,18,0.567956339,0.595380217,0.1,,0.9,rbf,,0.011416025,0.0031071
0,19,0.567942809,0.597832582,0.09,,1,rbf,,0.011891585,0.00316558
0,20,0.567820173,0.608597305,0.01,,0.7,rbf,,0.015858936,0.003100534
0,21,0.567716514,0.596846698,0.1,,1,rbf,,0.011646685,0.003142516
0,22,0.567694891,0.588854957,0.09,,0.5,rbf,,0.011281928,0.002932144
0,23,0.567382043,0.58797706,0.1,,0.5,rbf,,0.011257413,0.002905341
0,24,0.567226074,0.590285455,0.03,,0.3,rbf,,0.012070783,0.003039661
0,25,0.5665763,0.58870115,0.03,2,1,polynomial,,0.014665352,0.002511369
0,26,0.566520806,0.588219667,0.03,2,0.9,polynomial,,0.014651268,0.002513734
0,27,0.566385182,0.589522745,0.01,2,0.7,polynomial,,0.014811332,0.002532614
0,28,0.566363466,0.587360323,0.05,2,1,polynomial,,0.014452856,0.002501852
0,29,0.566356923,0.588145771,0.01,2,0.5,polynomial,,0.014919435,0.002542503
0,30,0.56614149,0.586738886,0.05,2,0.9,polynomial,,0.014388112,0.002504418
0,31,0.566084894,0.586857392,0.03,2,0.7,polynomial,,0.014595276,0.002520273
0,32,0.566024944,0.613066143,0.01,,0.9,rbf,,0.017212232,0.002954282
0,33,0.566020801,0.586267019,0.07,2,1,polynomial,,0.014194039,0.002494812
0,34,0.565935696,0.586563223,0.05,,0.3,rbf,,0.011655037,0.002929411
0,35,0.565716795,0.585553386,0.07,2,0.9,polynomial,,0.014094827,0.00249818
0,36,0.56567889,0.585339546,0.09,2,1,polynomial,,0.013942853,0.002489878
0,37,0.565665771,0.590274333,0.01,2,0.9,polynomial,,0.015003792,0.002531328
0,38,0.565514949,0.584922764,0.1,2,1,polynomial,,0.013826811,0.002488094
0,39,0.565400995,0.585049083,0.05,2,0.7,polynomial,,0.014208043,0.002513659
0,40,0.565321914,0.584560105,0.09,2,0.9,polynomial,,0.013830135,0.002494655
0,41,0.565136728,0.584116704,0.1,2,0.9,polynomial,,0.013712618,0.002493742
0,42,0.565126599,0.615115941,0.01,,1,rbf,,0.018019595,0.002882611
0,43,0.565125052,0.590538951,0.01,2,1,polynomial,,0.015254464,0.002534719
