Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
2,1,0.58908515,0.599173606,logistic,1.00E-05,"(2,)",0.001,lbfgs,,0.019779743,0.004644213
2,2,0.588914767,0.599235334,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.019897596,0.004671157
2,3,0.588890983,0.59922873,tanh,0.001,"(2,)",0.1,lbfgs,,0.019981054,0.004714548
2,4,0.588355615,0.598930748,logistic,1.00E-05,"(2,)",0.1,lbfgs,,0.019204767,0.004781291
2,5,0.5881249,0.598810318,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.019503856,0.004466352
2,6,0.588122543,0.598896281,logistic,0.001,"(2,)",0.01,lbfgs,,0.01902759,0.004731717
2,7,0.588010809,0.598769971,logistic,0.001,"(2,)",0.001,lbfgs,,0.019089652,0.004494041
2,8,0.587951581,0.598800996,logistic,0.0001,"(2,)",0.001,lbfgs,,0.019628996,0.004483024
2,9,0.587946902,0.598971598,logistic,0.0001,"(2,)",0.1,lbfgs,,0.019554849,0.004735794
2,10,0.587838655,0.598805757,logistic,0.001,"(2,)",0.1,lbfgs,,0.019790347,0.004461856
2,11,0.587762943,0.60259612,tanh,1.00E-05,"(3,)",0.01,lbfgs,,0.01960398,0.003915163
2,12,0.587750097,0.604263682,tanh,0.01,"(3,)",0.001,lbfgs,,0.023250099,0.006394628
2,13,0.587718388,0.598646452,logistic,0.01,"(2,)",0.1,lbfgs,,0.017928463,0.004665731
2,14,0.587499367,0.599151136,tanh,0.01,"(2,)",0.1,lbfgs,,0.01946672,0.004594628
2,15,0.587431754,0.605190504,logistic,0.01,"(3,)",0.1,lbfgs,,0.016857386,0.004410342
2,16,0.587429796,0.599164281,tanh,0.01,"(2,)",0.01,lbfgs,,0.019142084,0.004231229
2,17,0.587307387,0.605968762,logistic,1.00E-05,"(3,)",0.001,lbfgs,,0.024125531,0.006596671
2,18,0.587302097,0.607497822,tanh,0.001,"(3,)",0.001,lbfgs,,0.024734615,0.006175604
2,19,0.587239364,0.598555018,logistic,0.01,"(2,)",0.01,lbfgs,,0.018933059,0.004519038
2,20,0.587239298,0.598549173,logistic,0.01,"(2,)",0.001,lbfgs,,0.018862187,0.004503947
2,21,0.587118005,0.603397735,tanh,0.1,"(3,)",0.001,lbfgs,,0.017999384,0.005060831
2,22,0.587045337,0.605161826,logistic,0.01,"(3,)",0.001,lbfgs,,0.01895053,0.005447826
2,23,0.5867685,0.604432335,tanh,0.001,"(3,)",0.01,lbfgs,,0.020011086,0.005666262
2,24,0.586759044,0.598675526,tanh,0.1,"(2,)",0.001,lbfgs,,0.018893322,0.004250265
2,25,0.586532444,0.594460929,logistic,0.0001,"(2,)",0.01,lbfgs,,0.022437933,0.00477242
2,26,0.586495441,0.598568545,tanh,0.1,"(2,)",0.1,lbfgs,,0.018486037,0.004320502
2,27,0.586492391,0.606199295,logistic,1.00E-05,"(3,)",0.01,lbfgs,,0.024559943,0.006921824
2,28,0.586481649,0.60072837,logistic,0.0001,"(3,)",0.1,lbfgs,,0.020064623,0.0059692
2,29,0.586454819,0.603653504,tanh,0.01,"(3,)",0.1,lbfgs,,0.022619797,0.008089517
2,30,0.586440151,0.603420338,tanh,1.00E-05,"(3,)",0.001,lbfgs,,0.019768154,0.003683534
2,31,0.586440045,0.598575842,tanh,0.1,"(2,)",0.01,lbfgs,,0.018534902,0.004318026
2,32,0.586403432,0.606862086,tanh,0.001,"(3,)",0.1,lbfgs,,0.023407098,0.006741137
2,33,0.586114323,0.600657609,logistic,0.1,"(3,)",0.001,lbfgs,,0.016961044,0.005461383
2,34,0.586089592,0.603472937,tanh,0.1,"(3,)",0.1,lbfgs,,0.019647653,0.005845939
2,35,0.58600311,0.60565695,logistic,0.0001,"(3,)",0.001,lbfgs,,0.024384981,0.006850209
2,36,0.585963094,0.604917858,tanh,0.0001,"(3,)",0.001,lbfgs,,0.018908088,0.005748773
2,37,0.585656738,0.60583334,logistic,0.001,"(3,)",0.01,lbfgs,,0.019331641,0.004852216
2,38,0.585427967,0.597312803,tanh,1.00E-05,"(2,)",0.1,lbfgs,,0.019979976,0.005727368
