Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
0,1,0.586106982,0.599733948,tanh,1.00E-05,"(3,)",0.01,lbfgs,,0.014825661,0.00529539
0,2,0.585910826,0.600246309,logistic,0.0001,"(3,)",0.1,lbfgs,,0.014398674,0.005210476
0,3,0.585902886,0.595819003,logistic,1.00E-05,"(2,)",0.001,lbfgs,,0.015211636,0.003479791
0,4,0.585715949,0.595823991,logistic,0.0001,"(2,)",0.001,lbfgs,,0.015742904,0.003480098
0,5,0.585558153,0.601540744,logistic,0.01,"(3,)",0.01,lbfgs,,0.013360977,0.003861954
0,6,0.585545785,0.595774018,logistic,0.001,"(2,)",0.1,lbfgs,,0.015877987,0.003427297
0,7,0.585506454,0.596049883,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.016118604,0.003318617
0,8,0.585503936,0.595631265,logistic,0.01,"(2,)",0.001,lbfgs,,0.015471034,0.003423529
0,9,0.585432544,0.595837886,logistic,0.0001,"(2,)",0.01,lbfgs,,0.016023289,0.003508929
0,10,0.585421376,0.595987864,tanh,1.00E-05,"(2,)",0.1,lbfgs,,0.016071431,0.003318187
0,11,0.585394348,0.595828494,logistic,0.0001,"(2,)",0.1,lbfgs,,0.015905766,0.003518641
0,12,0.585390628,0.595834055,logistic,1.00E-05,"(2,)",0.1,lbfgs,,0.015990777,0.003519598
0,13,0.585389084,0.595806761,logistic,0.001,"(2,)",0.01,lbfgs,,0.015925573,0.00350448
0,14,0.585302305,0.596092603,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.015945834,0.003613269
0,15,0.585286097,0.596379661,tanh,0.001,"(2,)",0.01,lbfgs,,0.01593538,0.00295267
0,16,0.585237594,0.596101109,logistic,0.001,"(2,)",0.001,lbfgs,,0.015805697,0.003200896
0,17,0.585236779,0.595625108,logistic,0.01,"(2,)",0.01,lbfgs,,0.01566091,0.003403988
0,18,0.585218373,0.601356129,tanh,0.0001,"(3,)",0.001,lbfgs,,0.016760697,0.005991572
0,19,0.58503452,0.596247466,tanh,0.01,"(2,)",0.001,lbfgs,,0.01555965,0.003019143
0,20,0.584881019,0.595932424,logistic,0.01,"(2,)",0.1,lbfgs,,0.015531656,0.003178802
0,21,0.58440898,0.599784722,tanh,0.01,"(3,)",0.1,lbfgs,,0.016937998,0.004752882
0,22,0.584058093,0.601406766,tanh,0.0001,"(3,)",0.01,lbfgs,,0.014946293,0.004348971
0,23,0.583701385,0.600811354,logistic,0.0001,"(3,)",0.001,lbfgs,,0.012222148,0.002435796
0,24,0.58365378,0.600948378,tanh,0.1,"(3,)",0.1,lbfgs,,0.011820808,0.002870266
0,25,0.58348299,0.601148192,tanh,1.00E-05,"(3,)",0.001,lbfgs,,0.015028776,0.005298013
0,26,0.583346981,0.595463178,tanh,0.1,"(2,)",0.01,lbfgs,,0.015736971,0.003436746
0,27,0.583268496,0.602254182,logistic,0.001,"(3,)",0.01,lbfgs,,0.015974059,0.004659483
0,28,0.583088755,0.601400341,logistic,0.001,"(3,)",0.001,lbfgs,,0.012270281,0.004262037
0,29,0.58304575,0.598480123,tanh,0.1,"(3,)",0.001,lbfgs,,0.011352633,0.003131889
0,30,0.582990162,0.601643219,tanh,1.00E-05,"(3,)",0.1,lbfgs,,0.01414057,0.001672912
0,31,0.582977718,0.603267243,tanh,0.001,"(3,)",0.001,lbfgs,,0.012560262,0.002966141
0,32,0.582905839,0.601592212,logistic,1.00E-05,"(3,)",0.001,lbfgs,,0.014649113,0.005283369
0,33,0.582746476,0.600502128,tanh,0.1,"(3,)",0.01,lbfgs,,0.011488508,0.004828649
0,34,0.582648055,0.60239247,logistic,0.001,"(3,)",0.1,lbfgs,,0.01323495,0.003567491
0,35,0.582448306,0.600089877,tanh,0.01,"(3,)",0.001,lbfgs,,0.013243066,0.002999929
0,36,0.582279976,0.591566001,tanh,0.01,"(2,)",0.01,lbfgs,,0.021607549,0.006106333
0,37,0.581827273,0.601876208,logistic,0.01,"(3,)",0.001,lbfgs,,0.012500766,0.003190737
0,38,0.581303712,0.59386225,logistic,0.1,"(2,)",0.1,lbfgs,,0.015928636,0.003310977
0,39,0.581081795,0.601634803,logistic,0.0001,"(3,)",0.01,lbfgs,,0.013027143,0.004619706
0,40,0.581030713,0.598972115,logistic,0.1,"(3,)",0.001,lbfgs,,0.013876745,0.003338062
0,41,0.580859549,0.594057343,logistic,0.1,"(2,)",0.01,lbfgs,,0.015776744,0.003155106
0,42,0.580762567,0.603560265,tanh,0.001,"(3,)",0.1,lbfgs,,0.013317649,0.00262501
0,43,0.580195916,0.603452502,tanh,0.0001,"(3,)",0.1,lbfgs,,0.012902328,0.003461885
0,44,0.580059485,0.599946692,tanh,0.01,"(3,)",0.01,lbfgs,,0.013350075,0.002691659
0,45,0.579967317,0.602572133,logistic,1.00E-05,"(3,)",0.01,lbfgs,,0.016039301,0.004488177
0,46,0.579753729,0.599005577,logistic,0.1,"(3,)",0.1,lbfgs,,0.015690961,0.003362367
0,47,0.57973109,0.583582487,tanh,0.0001,"(2,)",0.001,lbfgs,,0.020944859,0.024335216
0,48,0.57935857,0.602999351,tanh,0.001,"(3,)",0.01,lbfgs,,0.013278159,0.003134833
0,49,0.579196384,0.5985081,logistic,0.1,"(3,)",0.01,lbfgs,,0.015551496,0.002202404
0,50,0.578682881,0.592670261,logistic,0.1,"(2,)",0.001,lbfgs,,0.017414654,0.003622101
0,51,0.578591312,0.60234135,logistic,0.01,"(3,)",0.1,lbfgs,,0.015627889,0.003508512
0,52,0.57816913,0.594298413,tanh,0.0001,"(2,)",0.1,lbfgs,,0.021669896,0.004703118
0,53,0.574543633,0.584480024,tanh,0.1,"(2,)",0.001,lbfgs,,0.032462771,0.019859334
0,54,0.573833914,0.584745497,tanh,0.0001,"(2,)",0.01,lbfgs,,0.018619351,0.024412344
0,55,0.572638843,0.585220209,tanh,0.001,"(2,)",0.1,lbfgs,,0.024292169,0.023205319
0,56,0.572197031,0.584941567,tanh,0.1,"(2,)",0.1,lbfgs,,0.030097141,0.021326857
0,57,0.572021798,0.576246634,tanh,0.01,"(2,)",0.1,lbfgs,,0.031146304,0.023962206
0,58,0.565752056,0.575185857,logistic,0.01,"(3,)",0.01,sgd,,0.018026722,0.004616567
0,59,0.56432603,0.570733055,logistic,1.00E-05,"(3,)",0.001,sgd,,0.013167728,0.00394617
