Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
1,65,0.572844096,0.589024731,0.07,,0.3,rbf,,0.008919033,0.001645988
1,66,0.572820246,0.596473289,0.1,3,0.5,polynomial,,0.010015522,0.002057145
1,67,0.572668983,0.593311882,0.05,3,0.3,polynomial,,0.008086522,0.001939598
1,68,0.572620568,0.604267686,0.1,3,0.9,polynomial,,0.016515736,0.00224906
1,69,0.572505442,0.60473393,0.09,3,0.9,polynomial,,0.016889968,0.002242409
1,70,0.572491995,0.584140259,0.1,2,0.5,polynomial,,0.008685826,0.001757549
1,71,0.572435967,0.603227106,0.05,4,0.3,polynomial,,0.012665561,0.001869391
1,72,0.572278502,0.601275045,0.07,4,0.3,polynomial,,0.011723856,0.001890524
1,73,0.572195149,0.588136146,0.01,3,0.1,polynomial,,0.007865096,0.001926184
1,74,0.572144108,0.605804968,0.07,3,0.9,polynomial,,0.017723965,0.002218342
1,75,0.572140129,0.605470293,0.1,3,1,polynomial,,0.017650638,0.002236661
1,76,0.572103234,0.606557076,0.03,3,0.7,polynomial,,0.017841417,0.002171018
1,77,0.57208287,0.586776708,0.01,,0.1,rbf,,0.008461615,0.001851785
1,78,0.572017808,0.605853758,0.03,4,0.3,polynomial,,0.013700254,0.001811078
1,79,0.572016713,0.607368161,0.01,3,0.5,polynomial,,0.01781359,0.002108037
1,80,0.571971544,0.605915993,0.09,3,1,polynomial,,0.017985205,0.002224669
1,81,0.571964809,0.586900375,0.09,,0.3,rbf,,0.009890569,0.001750936
1,82,0.57194102,0.59967219,0.09,4,0.3,polynomial,,0.010960423,0.001893163
1,83,0.571833361,0.591088696,0.07,3,0.3,polynomial,,0.007785512,0.001917083
1,84,0.571745117,0.59895971,0.1,4,0.3,polynomial,,0.010642456,0.001890797
1,85,0.571712941,0.58278298,0.05,2,0.3,polynomial,,0.009329205,0.001903086
1,86,0.571582257,0.585999048,0.1,,0.3,rbf,,0.01031034,0.001799948
1,87,0.571490363,0.606949357,0.07,3,1,polynomial,,0.018710335,0.00219013
1,88,0.571485459,0.607170932,0.05,3,0.9,polynomial,,0.01868726,0.002172435
1,89,0.571147607,0.5933583,0.03,5,0.1,polynomial,,0.007407285,0.00182445
1,90,0.571135741,0.589368675,0.09,3,0.3,polynomial,,0.007764967,0.001913206
1,91,0.570825557,0.58863431,0.1,3,0.3,polynomial,,0.007807446,0.001915354
1,92,0.570688831,0.60828969,0.05,3,1,polynomial,,0.019508939,0.002135664
