Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,metric,n_neighbors,weights,,std_test_score,std_train_score
2,1,0.527466026,1,euclidean,13,distance,,0.023886352,0
2,1,0.527466026,1,minkowski,13,distance,,0.023886352,0
2,3,0.527011613,1,euclidean,15,distance,,0.025142434,0
2,3,0.527011613,1,minkowski,15,distance,,0.025142434,0
2,5,0.526651196,1,euclidean,11,distance,,0.022684927,0
2,5,0.526651196,1,minkowski,11,distance,,0.022684927,0
2,7,0.526226251,1,euclidean,17,distance,,0.025472658,0
2,7,0.526226251,1,minkowski,17,distance,,0.025472658,0
2,9,0.526223682,1,manhattan,13,distance,,0.026141966,0
2,10,0.525569657,1,manhattan,15,distance,,0.027520844,0
2,11,0.525470443,1,manhattan,11,distance,,0.023035835,0
2,12,0.52509929,0.595837915,euclidean,13,uniform,,0.024081485,0.004595135
2,12,0.52509929,0.595837915,minkowski,13,uniform,,0.024081485,0.004595135
2,14,0.524924915,0.606793458,euclidean,11,uniform,,0.022088591,0.005879627
2,14,0.524924915,0.606793458,minkowski,11,uniform,,0.022088591,0.005879627
2,16,0.524550034,1,euclidean,19,distance,,0.026555758,0
2,16,0.524550034,1,minkowski,19,distance,,0.026555758,0
2,18,0.524359194,0.595999809,manhattan,13,uniform,,0.02686936,0.005250373
2,19,0.524356362,0.606756023,manhattan,11,uniform,,0.022946929,0.005402302
2,20,0.523619573,0.586532477,euclidean,15,uniform,,0.025352771,0.005313833
2,20,0.523619573,0.586532477,minkowski,15,uniform,,0.025352771,0.005313833
2,22,0.523428633,1,manhattan,17,distance,,0.028509039,0
2,23,0.522691078,1,manhattan,19,distance,,0.027099999,0
2,24,0.522522545,0.585812566,manhattan,15,uniform,,0.028273135,0.005392764
2,25,0.522209224,0.577782115,euclidean,17,uniform,,0.025629906,0.005548276
2,25,0.522209224,0.577782115,minkowski,17,uniform,,0.025629906,0.005548276
2,27,0.52126679,0.620013718,manhattan,9,uniform,,0.022363105,0.005513022
2,28,0.521208173,1,manhattan,9,distance,,0.022436582,0
2,29,0.51992906,1,euclidean,9,distance,,0.021959642,0
2,29,0.51992906,1,minkowski,9,distance,,0.021959642,0
2,31,0.519804389,0.569781764,euclidean,19,uniform,,0.026865706,0.006439604
2,31,0.519804389,0.569781764,minkowski,19,uniform,,0.026865706,0.006439604
2,33,0.519515194,0.577436045,manhattan,17,uniform,,0.029184399,0.006437703
2,34,0.518390754,0.621484198,euclidean,9,uniform,,0.020982705,0.005792784
2,34,0.518390754,0.621484198,minkowski,9,uniform,,0.020982705,0.005792784
2,36,0.518024303,0.570339991,manhattan,19,uniform,,0.027184023,0.006929839
2,37,0.517984508,1,chebyshev,11,distance,,0.023599995,0
2,38,0.517862291,1,chebyshev,15,distance,,0.022322331,0
2,39,0.516991758,1,chebyshev,17,distance,,0.025160933,0
2,40,0.516857273,1,chebyshev,13,distance,,0.024613277,0
2,41,0.51479982,1,chebyshev,19,distance,,0.027065485,0
2,42,0.514799241,0.597609569,chebyshev,11,uniform,,0.024368085,0.006025466
2,43,0.513863126,1,chebyshev,9,distance,,0.021537696,0
2,44,0.512346208,0.5764901,chebyshev,15,uniform,,0.022408436,0.005904542
2,45,0.512070793,1,euclidean,7,distance,,0.018197506,0
2,45,0.512070793,1,minkowski,7,distance,,0.018197506,0
2,47,0.511891119,0.585620584,chebyshev,13,uniform,,0.025721246,0.006335575
2,48,0.511438376,0.64145754,manhattan,7,uniform,,0.018099395,0.006865883
2,49,0.511156644,0.61187585,chebyshev,9,uniform,,0.02164859,0.006780769
2,50,0.510913057,1,manhattan,7,distance,,0.018895521,0
2,51,0.510816719,0.641736405,euclidean,7,uniform,,0.017281817,0.006601145
2,51,0.510816719,0.641736405,minkowski,7,uniform,,0.017281817,0.006601145
2,53,0.510466768,0.569071758,chebyshev,17,uniform,,0.025873458,0.005605281
2,54,0.507258691,0.562475097,chebyshev,19,uniform,,0.028065121,0.005940848
2,55,0.50690166,1,chebyshev,7,distance,,0.021956168,0
2,56,0.504758778,0.631141514,chebyshev,7,uniform,,0.021402395,0.005174502
2,57,0.498420539,0.670952707,euclidean,5,uniform,,0.015211328,0.006274734
2,57,0.498420539,0.670952707,minkowski,5,uniform,,0.015211328,0.006274734
2,59,0.497248073,1,euclidean,5,distance,,0.017343293,0
2,59,0.497248073,1,minkowski,5,distance,,0.017343293,0
2,61,0.494691389,0.674143218,manhattan,5,uniform,,0.022383638,0.006256966
2,62,0.492773932,1,manhattan,5,distance,,0.02252873,0
2,63,0.484804057,1,chebyshev,5,distance,,0.01856942,0
2,64,0.482846602,0.662410796,chebyshev,5,uniform,,0.01705369,0.007310925
2,65,0.453048728,0.733588511,euclidean,3,uniform,,0.019956485,0.001640535
2,65,0.453048728,0.733588511,minkowski,3,uniform,,0.019956485,0.001640535
2,67,0.450821128,1,euclidean,3,distance,,0.020800159,0
2,67,0.450821128,1,minkowski,3,distance,,0.020800159,0
2,69,0.447284028,0.72880894,chebyshev,3,uniform,,0.025580784,0.006204278
2,70,0.44589702,1,chebyshev,3,distance,,0.02530668,0
2,71,0.439813699,0.731483442,manhattan,3,uniform,,0.023169974,0.006004318
2,72,0.438143944,1,manhattan,3,distance,,0.02224625,0
2,73,0.386748063,0.804123249,chebyshev,2,uniform,,0.018864659,0.006813358
2,74,0.386037111,1,chebyshev,2,distance,,0.019904023,0
2,75,0.380980726,0.801080558,manhattan,2,uniform,,0.016107838,0.006615755
2,76,0.377778799,1,manhattan,2,distance,,0.017434819,0
2,77,0.377428887,0.804404033,euclidean,2,uniform,,0.011361858,0.008794133
2,77,0.377428887,0.804404033,minkowski,2,uniform,,0.011361858,0.008794133
2,79,0.375932919,1,euclidean,2,distance,,0.013001972,0
2,79,0.375932919,1,minkowski,2,distance,,0.013001972,0
2,81,0.202846636,1,euclidean,1,uniform,,0.041834632,0
2,81,0.202846636,1,euclidean,1,distance,,0.041834632,0
2,81,0.202846636,1,minkowski,1,uniform,,0.041834632,0
2,81,0.202846636,1,minkowski,1,distance,,0.041834632,0
2,85,0.199958161,1,manhattan,1,uniform,,0.018126976,0
2,85,0.199958161,1,manhattan,1,distance,,0.018126976,0
2,87,0.187860125,1,chebyshev,1,uniform,,0.038339588,0
2,87,0.187860125,1,chebyshev,1,distance,,0.038339588,0
