Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
1,1,0.593367601,0.604681557,tanh,0.1,"(2,)",0.01,lbfgs,,0.00455842,0.001416303
1,2,0.593303522,0.606359702,logistic,0.1,"(3,)",0.01,lbfgs,,0.002166675,0.001761157
1,3,0.593301818,0.604664433,tanh,0.1,"(2,)",0.001,lbfgs,,0.00454202,0.001425131
1,4,0.593281768,0.604676167,tanh,0.1,"(2,)",0.1,lbfgs,,0.004509357,0.001421509
1,5,0.593281274,0.605039433,logistic,0.01,"(2,)",0.01,lbfgs,,0.004690059,0.001438516
1,6,0.59303834,0.605053696,logistic,0.01,"(2,)",0.1,lbfgs,,0.004583699,0.001433166
1,7,0.593007103,0.605412671,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.004801735,0.001534978
1,8,0.592890816,0.605319711,logistic,0.001,"(2,)",0.1,lbfgs,,0.004801711,0.001518057
1,9,0.592734906,0.605364771,tanh,1.00E-05,"(2,)",0.1,lbfgs,,0.004893314,0.001451177
1,10,0.592667488,0.605400078,tanh,0.0001,"(2,)",0.1,lbfgs,,0.004903778,0.001535554
1,11,0.592630982,0.605492846,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.005138051,0.001496921
1,12,0.59258866,0.605280516,logistic,0.0001,"(2,)",0.01,lbfgs,,0.005388657,0.001694837
1,13,0.592549171,0.605431646,logistic,1.00E-05,"(2,)",0.001,lbfgs,,0.004910991,0.001537996
1,14,0.592466053,0.602834884,logistic,0.1,"(2,)",0.1,lbfgs,,0.004781882,0.001344346
1,15,0.592454794,0.606724175,logistic,0.1,"(3,)",0.001,lbfgs,,0.005275599,0.001875547
1,16,0.592451684,0.605312584,logistic,0.001,"(2,)",0.001,lbfgs,,0.004929479,0.001455897
1,17,0.59236089,0.602918562,logistic,0.1,"(2,)",0.01,lbfgs,,0.004740223,0.001326235
