Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,metric,n_neighbors,weights,,std_test_score,std_train_score
1,1,0.543371453,1,manhattan,15,distance,,0.029641135,0
1,2,0.54326698,1,euclidean,17,distance,,0.026477009,0
1,2,0.54326698,1,minkowski,17,distance,,0.026477009,0
1,4,0.541584759,1,euclidean,15,distance,,0.02585554,0
1,4,0.541584759,1,minkowski,15,distance,,0.02585554,0
1,6,0.541233716,1,euclidean,19,distance,,0.027964728,0
1,6,0.541233716,1,minkowski,19,distance,,0.027964728,0
1,8,0.541167735,0.596255798,manhattan,15,uniform,,0.031478422,0.003994428
1,9,0.540839799,1,manhattan,13,distance,,0.027306668,0
1,10,0.540493591,1,manhattan,17,distance,,0.029679396,0
1,11,0.539991758,1,euclidean,13,distance,,0.02864926,0
1,11,0.539991758,1,minkowski,13,distance,,0.02864926,0
1,13,0.53936909,0.592637553,euclidean,17,uniform,,0.027011772,0.005091776
1,13,0.53936909,0.592637553,minkowski,17,uniform,,0.027011772,0.005091776
1,15,0.539179136,0.607018543,manhattan,13,uniform,,0.029090263,0.002993488
1,16,0.538146139,0.600891317,euclidean,15,uniform,,0.026884571,0.003932379
1,16,0.538146139,0.600891317,minkowski,15,uniform,,0.026884571,0.003932379
1,18,0.53814091,1,euclidean,11,distance,,0.026884312,0
1,18,0.53814091,1,minkowski,11,distance,,0.026884312,0
1,20,0.537986182,1,manhattan,19,distance,,0.030437532,0
1,21,0.537801761,1,manhattan,11,distance,,0.026195601,0
1,22,0.537359497,0.607442339,euclidean,13,uniform,,0.030968771,0.00401651
1,22,0.537359497,0.607442339,minkowski,13,uniform,,0.030968771,0.00401651
1,24,0.536934444,0.617645825,manhattan,11,uniform,,0.028275374,0.002368376
1,25,0.536825015,0.589394038,manhattan,17,uniform,,0.031473386,0.004870248
1,26,0.536118832,0.61614304,euclidean,11,uniform,,0.029236858,0.003396133
1,26,0.536118832,0.61614304,minkowski,11,uniform,,0.029236858,0.003396133
1,28,0.536026963,1,chebyshev,13,distance,,0.030231804,0
1,29,0.5360161,1,chebyshev,19,distance,,0.028245028,0
1,30,0.536010644,0.584481985,euclidean,19,uniform,,0.028715705,0.005437328
1,30,0.536010644,0.584481985,minkowski,19,uniform,,0.028715705,0.005437328
1,32,0.535473641,1,chebyshev,15,distance,,0.029060051,0
1,33,0.535460612,1,chebyshev,17,distance,,0.0302415,0
1,34,0.533631085,1,euclidean,9,distance,,0.02368694,0
1,34,0.533631085,1,minkowski,9,distance,,0.02368694,0
1,36,0.532928464,0.581177082,manhattan,19,uniform,,0.031886844,0.004874486
1,37,0.532874067,0.600054327,chebyshev,13,uniform,,0.033011645,0.007506447
1,38,0.532725506,0.631199918,euclidean,9,uniform,,0.026006492,0.003534174
1,38,0.532725506,0.631199918,minkowski,9,uniform,,0.026006492,0.003534174
1,40,0.53251711,1,chebyshev,11,distance,,0.029463024,0
1,41,0.53222987,1,manhattan,9,distance,,0.023822351,0
1,42,0.531947419,0.629727899,manhattan,9,uniform,,0.025433719,0.002479514
1,43,0.531716216,1,chebyshev,9,distance,,0.027362792,0
1,44,0.530641133,0.592567156,chebyshev,15,uniform,,0.030958448,0.00637852
1,45,0.530187647,0.625871097,chebyshev,9,uniform,,0.029843697,0.003654493
1,46,0.529598426,0.612402924,chebyshev,11,uniform,,0.032166112,0.00560431
1,47,0.529546415,0.585746239,chebyshev,17,uniform,,0.032006821,0.006176693
1,48,0.529214462,0.578664092,chebyshev,19,uniform,,0.029585233,0.007208412
1,49,0.527226,0.650467511,euclidean,7,uniform,,0.021612519,0.002384606
1,49,0.527226,0.650467511,minkowski,7,uniform,,0.021612519,0.002384606
1,51,0.527067534,1,euclidean,7,distance,,0.019260699,0
1,51,0.527067534,1,minkowski,7,distance,,0.019260699,0
1,53,0.523882361,0.647223667,manhattan,7,uniform,,0.023702596,0.002942497
1,54,0.523321391,1,manhattan,7,distance,,0.021215628,0
1,55,0.523273242,1,chebyshev,7,distance,,0.023765735,0
1,56,0.522584826,0.644084265,chebyshev,7,uniform,,0.025872931,0.003691886
1,57,0.510422492,0.677357185,euclidean,5,uniform,,0.019539097,0.002945598
1,57,0.510422492,0.677357185,minkowski,5,uniform,,0.019539097,0.002945598
1,59,0.509655869,1,euclidean,5,distance,,0.016636711,0
1,59,0.509655869,1,minkowski,5,distance,,0.016636711,0
1,61,0.507920838,0.675953051,chebyshev,5,uniform,,0.025642236,0.002213257
1,62,0.506989053,1,chebyshev,5,distance,,0.022713923,0
1,63,0.506066957,0.673809981,manhattan,5,uniform,,0.02073088,0.001941965
1,64,0.50410058,1,manhattan,5,distance,,0.018658435,0
1,65,0.463237403,0.730286436,chebyshev,3,uniform,,0.0086265,0.003029757
1,66,0.461348259,1,chebyshev,3,distance,,0.010615372,0
1,67,0.457227791,0.734168603,euclidean,3,uniform,,0.013213205,0.002619795
1,67,0.457227791,0.734168603,minkowski,3,uniform,,0.013213205,0.002619795
1,69,0.456967885,1,euclidean,3,distance,,0.016442939,0
1,69,0.456967885,1,minkowski,3,distance,,0.016442939,0
1,71,0.447857182,0.728859948,manhattan,3,uniform,,0.013199847,0.002511225
