Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
4,51,0.571068261,0.599475045,logistic,0.01,"(3,)",0.01,lbfgs,,0.010963806,0.00504349
4,52,0.570819859,0.584092654,logistic,0.001,"(2,)",0.01,lbfgs,,0.027500216,0.019145215
4,53,0.570621865,0.600337427,tanh,0.0001,"(3,)",0.1,lbfgs,,0.016635919,0.005183521
4,54,0.570289311,0.584310173,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.026265208,0.018731699
4,55,0.570095658,0.583826074,tanh,0.1,"(2,)",0.1,lbfgs,,0.025196788,0.018621619
4,56,0.566584843,0.582875743,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.020389413,0.01085434
4,57,0.565631438,0.573342459,logistic,1.00E-05,"(3,)",0.01,sgd,,0.024007596,0.005853049
4,58,0.565395578,0.571764793,logistic,0.01,"(3,)",0.01,sgd,,0.024355543,0.006820982
4,59,0.564522127,0.569997356,logistic,0.0001,"(3,)",0.01,sgd,,0.022534892,0.008189806
4,60,0.563885798,0.5851252,tanh,0.0001,"(2,)",0.01,lbfgs,,0.02987509,0.010018876
4,61,0.563494169,0.576095416,tanh,0.01,"(2,)",0.001,lbfgs,,0.031047497,0.020093025
4,62,0.5626689,0.570502431,logistic,0.001,"(3,)",0.01,sgd,,0.021755203,0.008251133
4,63,0.560714225,0.56501558,logistic,0.001,"(3,)",0.001,sgd,,0.025579278,0.006587964
4,64,0.558909162,0.5622451,logistic,1.00E-05,"(3,)",0.001,sgd,,0.023413777,0.009182019
4,65,0.558850021,0.562488954,logistic,0.01,"(3,)",0.001,sgd,,0.019766518,0.01220414
4,66,0.558624592,0.561760732,tanh,0.1,"(3,)",0.001,sgd,,0.024374319,0.00478652
4,67,0.558005175,0.562196283,logistic,0.0001,"(3,)",0.1,sgd,,0.019031496,0.013215029
4,68,0.557222338,0.562212851,tanh,0.0001,"(3,)",0.001,sgd,,0.023922699,0.009666963
4,69,0.556801365,0.560468613,logistic,0.1,"(3,)",0.001,sgd,,0.026134005,0.006111439
4,70,0.556395577,0.558574001,tanh,1.00E-05,"(3,)",0.001,sgd,,0.025704776,0.008073693
4,71,0.556373068,0.562391475,logistic,0.1,"(3,)",0.01,sgd,,0.027468007,0.005612373
4,72,0.556254539,0.567775094,tanh,0.1,"(2,)",0.001,lbfgs,,0.021193555,0.023719612
4,73,0.555768443,0.559745694,logistic,0.0001,"(3,)",0.001,sgd,,0.026400304,0.006881904
4,74,0.555485059,0.55767155,tanh,0.0001,"(2,)",0.001,sgd,,0.026567532,0.003553417
4,75,0.55545459,0.559872184,logistic,1.00E-05,"(2,)",0.01,sgd,,0.022735237,0.006386258
4,76,0.55492815,0.554727077,tanh,0.1,"(3,)",0.01,sgd,,0.018695748,0.017669304
4,77,0.554710486,0.555712837,logistic,1.00E-05,"(2,)",0.001,sgd,,0.024819401,0.006443543
4,78,0.55425014,0.5609053,tanh,0.001,"(3,)",0.001,sgd,,0.024080087,0.004416675
4,79,0.554062594,0.559639182,tanh,0.01,"(3,)",0.001,sgd,,0.024460962,0.007646659
4,80,0.553606268,0.557033898,logistic,0.1,"(2,)",0.01,sgd,,0.02353593,0.00660181
4,81,0.553431343,0.558033409,logistic,0.0001,"(2,)",0.01,sgd,,0.02387183,0.005075445
4,82,0.55331973,0.556493019,logistic,0.01,"(2,)",0.01,sgd,,0.02339572,0.004713119
4,83,0.552422649,0.553759402,logistic,0.001,"(2,)",0.001,sgd,,0.023775159,0.006629247
4,84,0.55222002,0.555376376,tanh,0.001,"(2,)",0.001,sgd,,0.023284515,0.007982694
4,85,0.55185843,0.561343844,tanh,0.01,"(3,)",0.01,sgd,,0.012499052,0.020134933
4,86,0.550897869,0.553851841,logistic,0.01,"(2,)",0.001,sgd,,0.025191365,0.00558903
4,87,0.550808118,0.561455513,tanh,1.00E-05,"(3,)",0.01,sgd,,0.03329622,0.010468081
4,88,0.550607371,0.556147541,logistic,0.0001,"(2,)",0.001,sgd,,0.028009029,0.005277662
4,89,0.54955488,0.55417321,logistic,0.001,"(2,)",0.01,sgd,,0.030630494,0.009930633
4,90,0.54949688,0.553055166,tanh,0.01,"(2,)",0.001,sgd,,0.026185228,0.006179502
4,91,0.549461761,0.553683994,tanh,1.00E-05,"(2,)",0.001,sgd,,0.02203281,0.006562971
4,92,0.54895299,0.552586463,logistic,0.1,"(2,)",0.001,sgd,,0.025393872,0.004584892
4,93,0.548392081,0.553439384,tanh,0.1,"(2,)",0.001,sgd,,0.023655856,0.006409826
4,94,0.537131757,0.547190796,logistic,0.01,"(3,)",0.1,sgd,,0.033530367,0.025907592
4,95,0.531992484,0.540063168,tanh,0.001,"(3,)",0.01,sgd,,0.039599407,0.017588109
4,96,0.53052991,0.533482735,tanh,0.1,"(2,)",0.01,sgd,,0.024457845,0.019771149
4,97,0.525997091,0.536072931,logistic,0.1,"(3,)",0.1,sgd,,0.019102935,0.028650876
4,98,0.521757362,0.523740599,tanh,0.001,"(2,)",0.01,sgd,,0.022237128,0.011124443
4,99,0.520640013,0.534000165,logistic,0.001,"(3,)",0.1,sgd,,0.046837222,0.057915056
4,100,0.512039784,0.525308107,logistic,1.00E-05,"(3,)",0.1,sgd,,0.048022629,0.032231167
