Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,metric,n_neighbors,weights,,std_test_score,std_train_score
0,1,0.531483302,1,euclidean,15,distance,,0.023603906,0
0,1,0.531483302,1,minkowski,15,distance,,0.023603906,0
0,3,0.531402568,1,euclidean,17,distance,,0.023144231,0
0,3,0.531402568,1,minkowski,17,distance,,0.023144231,0
0,5,0.531213398,1,manhattan,13,distance,,0.021171997,0
0,6,0.531000467,1,manhattan,15,distance,,0.021764164,0
0,7,0.530992231,1,euclidean,19,distance,,0.024488661,0
0,7,0.530992231,1,minkowski,19,distance,,0.024488661,0
0,9,0.529894817,1,euclidean,13,distance,,0.018958203,0
0,9,0.529894817,1,minkowski,13,distance,,0.018958203,0
0,11,0.529299879,1,manhattan,17,distance,,0.023456175,0
0,12,0.529075465,0.596827252,manhattan,13,uniform,,0.021711714,0.004862129
0,13,0.528207991,1,manhattan,11,distance,,0.020542337,0
0,14,0.528127016,1,manhattan,19,distance,,0.022822225,0
0,15,0.528049765,0.588966634,euclidean,15,uniform,,0.024965138,0.005837407
0,15,0.528049765,0.588966634,minkowski,15,uniform,,0.024965138,0.005837407
0,17,0.527864725,1,euclidean,11,distance,,0.018040853,0
0,17,0.527864725,1,minkowski,11,distance,,0.018040853,0
0,19,0.527592,0.586805024,manhattan,15,uniform,,0.022437984,0.004665443
0,20,0.527287411,0.598107243,euclidean,13,uniform,,0.019393676,0.004488953
0,20,0.527287411,0.598107243,minkowski,13,uniform,,0.019393676,0.004488953
0,22,0.527128916,0.581874918,euclidean,17,uniform,,0.02378518,0.005802721
0,22,0.527128916,0.581874918,minkowski,17,uniform,,0.02378518,0.005802721
0,24,0.526730537,0.608181034,manhattan,11,uniform,,0.021173686,0.00435525
0,25,0.526053579,0.575514899,euclidean,19,uniform,,0.025195891,0.00599764
0,25,0.526053579,0.575514899,minkowski,19,uniform,,0.025195891,0.00599764
0,27,0.525902412,0.607764699,euclidean,11,uniform,,0.018344464,0.003169718
0,27,0.525902412,0.607764699,minkowski,11,uniform,,0.018344464,0.003169718
0,29,0.524696317,0.578544978,manhattan,17,uniform,,0.024146411,0.006122815
0,30,0.522975585,1,manhattan,9,distance,,0.015931337,0
0,31,0.522562742,0.571041892,manhattan,19,uniform,,0.022973548,0.006079819
0,32,0.522519174,0.623259034,manhattan,9,uniform,,0.016129104,0.003682942
0,33,0.522510918,1,chebyshev,19,distance,,0.027519615,0
0,34,0.522206285,1,chebyshev,15,distance,,0.028173667,0
0,35,0.521614051,1,chebyshev,17,distance,,0.025853284,0
0,36,0.52161183,1,chebyshev,11,distance,,0.027622185,0
0,37,0.520247045,1,chebyshev,13,distance,,0.027702552,0
0,38,0.51997217,1,euclidean,9,distance,,0.017679314,0
0,38,0.51997217,1,minkowski,9,distance,,0.017679314,0
0,40,0.519547149,0.60161068,chebyshev,11,uniform,,0.029582974,0.005146823
0,41,0.51791002,0.61802941,euclidean,9,uniform,,0.018085519,0.003748348
0,41,0.51791002,0.61802941,minkowski,9,uniform,,0.018085519,0.003748348
0,43,0.517682988,0.581949976,chebyshev,15,uniform,,0.029874968,0.005191056
0,44,0.516716612,0.592252809,chebyshev,13,uniform,,0.029426783,0.005298384
