Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
4,1,0.56566813,0.595568142,0.03,,0.5,rbf,,0.022614169,0.005676164
4,2,0.565523595,0.591824197,0.05,,0.5,rbf,,0.022921153,0.005515501
4,3,0.565481887,0.59637467,0.05,,0.7,rbf,,0.024023322,0.005825941
4,4,0.565392256,0.600329018,0.03,,0.7,rbf,,0.024139557,0.006081699
4,5,0.565325915,0.593594468,0.07,,0.7,rbf,,0.024044575,0.005675101
4,6,0.565236424,0.58916112,0.07,,0.5,rbf,,0.023169643,0.005435234
4,7,0.565082426,0.591410718,0.09,,0.7,rbf,,0.024100877,0.005578208
4,8,0.564960006,0.595856998,0.01,,0.3,rbf,,0.019841903,0.005648004
4,9,0.564943596,0.590464735,0.1,,0.7,rbf,,0.024133708,0.005542137
4,10,0.564925867,0.600160431,0.05,,0.9,rbf,,0.025019715,0.006175035
4,11,0.56490277,0.587058315,0.09,,0.5,rbf,,0.023379482,0.005388337
4,12,0.564891084,0.602718673,0.01,,0.5,rbf,,0.022355627,0.006121286
4,13,0.564817657,0.597183088,0.07,,0.9,rbf,,0.024800236,0.005988714
4,14,0.564727595,0.586145666,0.1,,0.5,rbf,,0.023473766,0.005371852
4,15,0.564709325,0.604400822,0.03,,0.9,rbf,,0.025560346,0.006434793
4,16,0.564592803,0.59484649,0.09,,0.9,rbf,,0.024699224,0.005854467
4,17,0.564570171,0.601907976,0.05,,1,rbf,,0.025465481,0.006326377
4,18,0.564486459,0.598838641,0.07,,1,rbf,,0.025143372,0.006139362
4,19,0.564458542,0.593835654,0.1,,0.9,rbf,,0.024671568,0.005801223
4,20,0.564274716,0.606272053,0.03,,1,rbf,,0.026176493,0.006564459
4,21,0.56426742,0.596425111,0.09,,1,rbf,,0.024972876,0.005996869
4,22,0.564242294,0.588625162,0.03,,0.3,rbf,,0.020864255,0.005460556
4,23,0.564132712,0.595379889,0.1,,1,rbf,,0.024918152,0.005938541
4,24,0.564016127,0.60816196,0.01,,0.7,rbf,,0.025195288,0.006522934
4,25,0.563635955,0.584782622,0.05,,0.3,rbf,,0.021417876,0.005398935
4,26,0.563184939,0.582147268,0.07,,0.3,rbf,,0.021858397,0.005360986
4,27,0.562802889,0.580132853,0.09,,0.3,rbf,,0.022235619,0.005334412
4,28,0.562785275,0.584110008,0.09,2,1,polynomial,,0.015345066,0.006027429
4,29,0.562777342,0.583688797,0.1,2,1,polynomial,,0.015571611,0.005998571
4,30,0.562711307,0.585043465,0.07,2,1,polynomial,,0.014828706,0.006096014
4,31,0.562687891,0.612896694,0.01,,0.9,rbf,,0.027591817,0.006706401
4,32,0.562687578,0.584324471,0.07,2,0.9,polynomial,,0.015112748,0.006040861
4,33,0.562652812,0.583319633,0.09,2,0.9,polynomial,,0.015635051,0.005971062
4,34,0.5626237,0.579274801,0.1,,0.3,rbf,,0.022406174,0.005324185
4,35,0.562602971,0.582869117,0.1,2,0.9,polynomial,,0.015865209,0.005942105
4,36,0.562532579,0.585515645,0.05,2,0.9,polynomial,,0.014467207,0.006133025
4,37,0.562436966,0.58381147,0.05,2,0.7,polynomial,,0.015070235,0.005998475
4,38,0.562384979,0.586138555,0.05,2,1,polynomial,,0.014175987,0.006184452
4,39,0.56230816,0.585632185,0.03,2,0.7,polynomial,,0.014188739,0.006142782
4,40,0.562264582,0.582400881,0.07,2,0.7,polynomial,,0.015740841,0.005902561
4,41,0.562032194,0.583329193,0.03,2,0.5,polynomial,,0.014843741,0.005954906
4,42,0.562019654,0.581241652,0.09,2,0.7,polynomial,,0.016289804,0.00583389
4,43,0.561888591,0.580729441,0.1,2,0.7,polynomial,,0.016530734,0.0058063
4,44,0.561771187,0.61505589,0.01,,1,rbf,,0.02855374,0.006758907
4,45,0.561758141,0.586998364,0.03,2,0.9,polynomial,,0.013531686,0.006260701
4,46,0.561585072,0.58109912,0.05,2,0.5,polynomial,,0.015804101,0.005806487
4,47,0.561569874,0.58381556,0.01,2,0.3,polynomial,,0.014034954,0.005983889
4,48,0.561506442,0.586918497,0.01,2,0.5,polynomial,,0.013299859,0.006261025
4,49,0.561260168,0.587484998,0.03,2,1,polynomial,,0.013177374,0.006303187
4,50,0.561121416,0.579456816,0.07,2,0.5,polynomial,,0.016537933,0.005718024
4,51,0.560688413,0.578141389,0.09,2,0.5,polynomial,,0.017132399,0.005658839
4,52,0.560482289,0.577565438,0.1,2,0.5,polynomial,,0.017392952,0.005635978
4,53,0.560349849,0.579022069,0.03,2,0.3,polynomial,,0.015801442,0.005660143
4,54,0.559543602,0.588320145,0.01,2,0.7,polynomial,,0.012283712,0.006386252
4,55,0.559482825,0.576406342,0.05,2,0.3,polynomial,,0.016956836,0.005545278
4,56,0.559384942,0.580525987,0.01,,0.1,rbf,,0.016174903,0.005436227
4,57,0.558964153,0.573927854,0.03,,0.1,rbf,,0.018639655,0.005151112
