Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
3,1,0.591649157,0.601265344,logistic,1.00E-05,"(2,)",0.01,lbfgs,,0.011694134,0.003223323
3,2,0.591540179,0.606091557,logistic,0.001,"(3,)",0.1,lbfgs,,0.013917196,0.004633195
3,3,0.591538304,0.601528831,tanh,1.00E-05,"(2,)",0.001,lbfgs,,0.01167488,0.003151527
3,4,0.591465217,0.601223053,logistic,0.0001,"(2,)",0.1,lbfgs,,0.011567851,0.003289218
3,5,0.591405312,0.601230329,tanh,0.001,"(2,)",0.001,lbfgs,,0.011487525,0.003269639
3,6,0.591399387,0.601143429,logistic,0.001,"(2,)",0.1,lbfgs,,0.011625168,0.003279441
3,7,0.591347082,0.601217297,logistic,0.0001,"(2,)",0.001,lbfgs,,0.011529062,0.003234899
3,8,0.591341633,0.601126851,logistic,0.001,"(2,)",0.001,lbfgs,,0.011676537,0.003248188
3,9,0.591317352,0.601203535,logistic,1.00E-05,"(2,)",0.1,lbfgs,,0.011443033,0.003271325
3,10,0.591313697,0.605725764,tanh,0.001,"(3,)",0.1,lbfgs,,0.014704651,0.003709009
3,11,0.59116189,0.601137942,logistic,0.001,"(2,)",0.01,lbfgs,,0.011524674,0.003274198
3,12,0.591113849,0.60108986,tanh,0.01,"(2,)",0.001,lbfgs,,0.011437129,0.00325884
3,13,0.590670063,0.600822878,logistic,0.01,"(2,)",0.001,lbfgs,,0.011345928,0.003244311
3,14,0.590655783,0.607027649,logistic,0.0001,"(3,)",0.001,lbfgs,,0.017303958,0.003673315
3,15,0.590593467,0.600812088,logistic,0.01,"(2,)",0.1,lbfgs,,0.011294102,0.00325192
3,16,0.590103601,0.605608455,tanh,1.00E-05,"(3,)",0.001,lbfgs,,0.015213928,0.005113812
3,17,0.589931516,0.600397355,tanh,0.1,"(2,)",0.001,lbfgs,,0.011372233,0.003240503
3,18,0.589920477,0.600413057,tanh,0.1,"(2,)",0.1,lbfgs,,0.011370467,0.003235482
3,19,0.589837986,0.604844913,tanh,0.01,"(3,)",0.01,lbfgs,,0.012881795,0.004104233
3,20,0.588932228,0.606339626,logistic,0.01,"(3,)",0.01,lbfgs,,0.014327531,0.004375802
3,21,0.588704145,0.606447452,logistic,0.01,"(3,)",0.001,lbfgs,,0.008958504,0.003641359
3,22,0.58814362,0.603880771,tanh,0.1,"(3,)",0.01,lbfgs,,0.013359979,0.005506363
3,23,0.588001998,0.605759758,tanh,0.1,"(3,)",0.1,lbfgs,,0.013242134,0.004788586
3,24,0.587948086,0.60769019,logistic,1.00E-05,"(3,)",0.1,lbfgs,,0.017602139,0.005491096
3,25,0.587934782,0.607650107,logistic,0.001,"(3,)",0.001,lbfgs,,0.011010519,0.004280213
3,26,0.587389175,0.596255664,logistic,1.00E-05,"(2,)",0.001,lbfgs,,0.011239343,0.011844305
3,27,0.587168578,0.60726979,logistic,0.01,"(3,)",0.1,lbfgs,,0.010107704,0.004340826
3,28,0.58674133,0.598527932,logistic,0.1,"(2,)",0.1,lbfgs,,0.012557514,0.003256991
3,29,0.586712886,0.60840997,tanh,0.0001,"(3,)",0.1,lbfgs,,0.018746422,0.005612419
3,30,0.586669945,0.598686332,logistic,0.1,"(2,)",0.001,lbfgs,,0.01244126,0.003348979
3,31,0.586662854,0.598490389,logistic,0.1,"(2,)",0.01,lbfgs,,0.012309644,0.003283908
3,32,0.586429309,0.602823933,logistic,0.1,"(3,)",0.1,lbfgs,,0.013702797,0.004128084
3,33,0.586367688,0.608292328,logistic,0.0001,"(3,)",0.1,lbfgs,,0.012960871,0.003949883
3,34,0.586228828,0.608268313,tanh,0.001,"(3,)",0.001,lbfgs,,0.019648398,0.004564731
3,35,0.585770832,0.607736051,tanh,0.001,"(3,)",0.01,lbfgs,,0.010943634,0.003141035
3,36,0.585760707,0.607991324,tanh,0.01,"(3,)",0.1,lbfgs,,0.013193014,0.003805028
3,37,0.585735915,0.607950828,logistic,1.00E-05,"(3,)",0.001,lbfgs,,0.016842623,0.005924432
3,38,0.585291953,0.606417381,tanh,0.1,"(3,)",0.001,lbfgs,,0.013124531,0.003874106
3,39,0.585234921,0.596582186,tanh,0.01,"(2,)",0.01,lbfgs,,0.012670922,0.010660551
3,40,0.585023749,0.608871764,tanh,0.0001,"(3,)",0.01,lbfgs,,0.021313757,0.003728355
3,41,0.584715084,0.608244321,tanh,1.00E-05,"(3,)",0.1,lbfgs,,0.017971915,0.006333345
3,42,0.584630939,0.603062272,logistic,0.1,"(3,)",0.001,lbfgs,,0.013753301,0.003883715
3,43,0.584592164,0.607816046,logistic,1.00E-05,"(3,)",0.01,lbfgs,,0.019881605,0.005052815
3,44,0.584517775,0.604044369,logistic,0.1,"(3,)",0.01,lbfgs,,0.013264221,0.00379514
3,45,0.584196255,0.590042827,tanh,1.00E-05,"(2,)",0.1,lbfgs,,0.014748945,0.024813965
3,46,0.584054642,0.589759822,tanh,0.001,"(2,)",0.1,lbfgs,,0.014474651,0.024707559
3,47,0.583161942,0.589754793,tanh,0.0001,"(2,)",0.1,lbfgs,,0.02734213,0.020270958
3,48,0.582947176,0.58962106,logistic,0.0001,"(2,)",0.01,lbfgs,,0.02723909,0.020205734
3,49,0.582453932,0.60878961,tanh,1.00E-05,"(3,)",0.01,lbfgs,,0.01824743,0.004642822
3,50,0.580491432,0.590229679,tanh,0.0001,"(2,)",0.01,lbfgs,,0.021130233,0.023054409
3,51,0.578942003,0.588782725,tanh,0.01,"(2,)",0.1,lbfgs,,0.019903543,0.022886266
3,52,0.577454354,0.590510756,logistic,0.01,"(2,)",0.01,lbfgs,,0.023551906,0.021981401
3,53,0.575470644,0.578965903,logistic,0.0001,"(3,)",0.01,sgd,,0.018493451,0.005943418
3,54,0.572398047,0.575608579,logistic,0.01,"(3,)",0.01,sgd,,0.014727446,0.012892513
3,55,0.571934612,0.576675517,logistic,1.00E-05,"(3,)",0.01,sgd,,0.015329602,0.012285596
3,56,0.571100583,0.572597942,logistic,1.00E-05,"(3,)",0.001,sgd,,0.023001791,0.003393349
3,57,0.570954225,0.579392015,tanh,0.0001,"(2,)",0.001,lbfgs,,0.02150175,0.029199058
3,58,0.569560063,0.573316709,logistic,0.001,"(3,)",0.001,sgd,,0.023877627,0.003153687
3,59,0.569165476,0.572497053,logistic,0.01,"(3,)",0.001,sgd,,0.02073243,0.006825271
3,60,0.568684985,0.577798397,tanh,1.00E-05,"(2,)",0.01,lbfgs,,0.030037255,0.024668571
3,61,0.568174575,0.572295145,logistic,0.001,"(3,)",0.01,sgd,,0.018597195,0.011246637
3,62,0.567237724,0.571601186,logistic,0.0001,"(3,)",0.001,sgd,,0.022496057,0.004965773
3,63,0.566810454,0.573533066,logistic,0.1,"(3,)",0.01,sgd,,0.022682306,0.005665266
3,64,0.565651491,0.579393683,tanh,0.1,"(2,)",0.01,lbfgs,,0.028083139,0.026265532
3,65,0.565447135,0.570298299,tanh,0.1,"(3,)",0.001,sgd,,0.022987165,0.011649962
3,66,0.565201296,0.567893018,logistic,0.0001,"(2,)",0.01,sgd,,0.02245879,0.004371538
3,67,0.565181353,0.56901075,logistic,0.1,"(3,)",0.001,sgd,,0.022118582,0.006514132
3,68,0.564191977,0.608399982,logistic,0.0001,"(3,)",0.01,lbfgs,,0.045913463,0.005192804
3,69,0.564140999,0.565189601,logistic,1.00E-05,"(2,)",0.01,sgd,,0.022873025,0.007165386
3,70,0.56374374,0.57092587,tanh,0.01,"(3,)",0.001,sgd,,0.024466484,0.008018607
3,71,0.563557861,0.566662149,tanh,0.0001,"(3,)",0.001,sgd,,0.019728784,0.005986122
3,72,0.563329149,0.570107513,tanh,0.001,"(3,)",0.001,sgd,,0.024773191,0.00491243
3,73,0.563056623,0.565499754,tanh,1.00E-05,"(3,)",0.001,sgd,,0.021076275,0.005984185
3,74,0.561740699,0.567421591,logistic,0.001,"(2,)",0.01,sgd,,0.02159214,0.006641958
3,75,0.558665659,0.561319065,logistic,0.1,"(2,)",0.01,sgd,,0.020759289,0.003924286
3,76,0.55769277,0.562134324,logistic,0.001,"(2,)",0.001,sgd,,0.01921902,0.005583284
3,77,0.557676831,0.558716675,tanh,0.001,"(2,)",0.001,sgd,,0.017568136,0.005662823
3,78,0.557480223,0.562235848,logistic,1.00E-05,"(2,)",0.001,sgd,,0.021479412,0.007180818
3,79,0.557119601,0.560512362,logistic,0.1,"(2,)",0.001,sgd,,0.02138583,0.006132712
3,80,0.556794083,0.559337524,logistic,0.01,"(2,)",0.001,sgd,,0.021575465,0.005939917
3,81,0.556382105,0.559026766,tanh,0.01,"(2,)",0.001,sgd,,0.021157904,0.004927522
3,82,0.555623114,0.605902876,tanh,0.0001,"(3,)",0.001,lbfgs,,0.065188237,0.007297709
3,83,0.55510898,0.560518186,logistic,0.01,"(2,)",0.01,sgd,,0.011476176,0.0177881
3,84,0.554711144,0.559015751,logistic,0.0001,"(2,)",0.001,sgd,,0.017360796,0.008639517
3,85,0.554624896,0.559407369,tanh,0.0001,"(2,)",0.001,sgd,,0.024398619,0.003824726
3,86,0.554593507,0.554334888,tanh,1.00E-05,"(2,)",0.001,sgd,,0.022528333,0.007807396
3,87,0.554055986,0.567054741,tanh,0.1,"(3,)",0.01,sgd,,0.026136029,0.006721559
3,88,0.55363659,0.563722445,tanh,0.001,"(3,)",0.01,sgd,,0.023418321,0.019853207
3,89,0.551038971,0.555105288,tanh,0.1,"(2,)",0.001,sgd,,0.025704446,0.002015758
3,90,0.550826349,0.558610435,tanh,0.0001,"(3,)",0.01,sgd,,0.021792843,0.017230591
3,91,0.543277751,0.54608465,tanh,0.001,"(2,)",0.01,sgd,,0.018261284,0.015885824
3,92,0.542755042,0.543423783,tanh,0.1,"(2,)",0.01,sgd,,0.023816538,0.018392881
3,93,0.542716405,0.544839362,tanh,1.00E-05,"(2,)",0.01,sgd,,0.038159165,0.022296565
3,94,0.54204955,0.544572358,tanh,1.00E-05,"(3,)",0.01,sgd,,0.031555941,0.01837787
3,95,0.53947753,0.540861145,logistic,0.001,"(3,)",0.1,sgd,,0.023865026,0.022381699
3,96,0.539298328,0.536313357,tanh,0.01,"(3,)",0.01,sgd,,0.056665809,0.055935601
3,97,0.537225255,0.547017613,logistic,1.00E-05,"(3,)",0.1,sgd,,0.016029364,0.031417942
3,98,0.533944207,0.54141396,logistic,0.0001,"(2,)",0.1,sgd,,0.03842734,0.025879155
3,99,0.527712788,0.60759945,tanh,0.01,"(3,)",0.001,lbfgs,,0.114651996,0.004218652
3,100,0.52472143,0.525991231,tanh,0.0001,"(2,)",0.01,sgd,,0.009906652,0.012855775
3,101,0.520327972,0.608460527,logistic,0.001,"(3,)",0.01,lbfgs,,0.131483531,0.004424233
3,102,0.507205628,0.515090862,logistic,0.0001,"(3,)",0.1,sgd,,0.066353854,0.04072497
3,103,0.504556318,0.510152266,logistic,0.1,"(2,)",0.1,sgd,,0.025988884,0.038989764
3,104,0.494312605,0.501430239,logistic,0.01,"(3,)",0.1,sgd,,0.086461253,0.065450204
3,105,0.485408335,0.488786527,logistic,0.1,"(3,)",0.1,sgd,,0.106266136,0.116377413
3,106,0.484047541,0.493366116,logistic,0.01,"(2,)",0.1,sgd,,0.095233848,0.088123068
3,107,0.477123242,0.479840751,tanh,0.001,"(2,)",0.01,lbfgs,,0.239394791,0.239927963
