,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_metric,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.001746797561645508,0.007051849365234375,0.20455359041183446,1.0,euclidean,1,uniform,"{'n_neighbors': 1, 'metric': 'euclidean', 'weights': 'uniform'}",81,0.2088912724328127,1.0,0.09355985965621882,1.0,0.2571351105513574,1.0,0.24171298443307743,1.0,0.22146872498570613,1.0,0.0003106265112847968,0.0018912191007304415,0.05791404381361476,0.0
1,0.0017002582550048827,0.005887556076049805,0.20455359041183446,1.0,euclidean,1,distance,"{'n_neighbors': 1, 'metric': 'euclidean', 'weights': 'distance'}",81,0.2088912724328127,1.0,0.09355985965621882,1.0,0.2571351105513574,1.0,0.24171298443307743,1.0,0.22146872498570613,1.0,0.0002293538451925818,0.0002749522360518974,0.05791404381361476,0.0
2,0.0016953468322753907,0.006075048446655273,0.3892945824087714,0.8036391339595468,euclidean,2,uniform,"{'n_neighbors': 2, 'metric': 'euclidean', 'weights': 'uniform'}",73,0.3882129720136622,0.8027453604927827,0.34642847163919344,0.8081573872165901,0.4141869140078366,0.8008296788890626,0.40476450864274194,0.8026111025089399,0.3928800457404231,0.8038521406903587,0.00022549151764217706,0.000381000874403445,0.023282936545811674,0.0024579951923692465
3,0.0017028331756591796,0.006198453903198242,0.38619942680265595,1.0,euclidean,2,distance,"{'n_neighbors': 2, 'metric': 'euclidean', 'weights': 'distance'}",75,0.3847698958639537,1.0,0.3379759129451314,1.0,0.41246709354079447,1.0,0.4028477088131708,1.0,0.3929365228502295,1.0,0.0002234282264775853,0.00036486245772563276,0.025846063222058943,0.0
4,0.001722240447998047,0.0065533161163330075,0.4623996511753129,0.7349123662262471,euclidean,3,uniform,"{'n_neighbors': 3, 'metric': 'euclidean', 'weights': 'uniform'}",65,0.428139766343164,0.7317729568854021,0.45346555204149097,0.7376587080517192,0.49584703563765276,0.7339173057796521,0.47157699263629094,0.7358523169765963,0.46296890921796574,0.7353605434378665,0.00025819614188948435,0.0004432823384775665,0.022166790540929245,0.001973463957116867
5,0.001710224151611328,0.006598377227783203,0.45959993855346326,1.0,euclidean,3,distance,"{'n_neighbors': 3, 'metric': 'euclidean', 'weights': 'distance'}",67,0.42971832137934074,1.0,0.44458682894973234,1.0,0.49444027480917807,1.0,0.46801769935525506,1.0,0.4612365682738103,1.0,0.00022887778278576768,0.00041174869559437683,0.021934861700423063,0.0
6,0.0017093658447265626,0.0070342540740966795,0.49579310458106773,0.6744241563502686,euclidean,5,uniform,"{'n_neighbors': 5, 'metric': 'euclidean', 'weights': 'uniform'}",60,0.4622525991962424,0.6801027391438859,0.5131926879665984,0.6702467517823749,0.5151367898124826,0.6702160381378522,0.4946426569077168,0.6690430922851864,0.49374078902229845,0.6825121604020443,0.00026017292831832973,0.0005123293717005633,0.019012757247666497,0.005688179504403044
7,0.0017002582550048827,0.007000732421875,0.49586923960098916,1.0,euclidean,5,distance,"{'n_neighbors': 5, 'metric': 'euclidean', 'weights': 'distance'}",58,0.465036539233625,1.0,0.5069935864013033,1.0,0.518700859452105,1.0,0.4956280482470482,1.0,0.49298716467086445,1.0,0.00022123721086762498,0.0004612165453570348,0.017911191461626747,0.0
8,0.0017070770263671875,0.007206392288208008,0.5069918394074598,0.6401883898462245,euclidean,7,uniform,"{'n_neighbors': 7, 'metric': 'euclidean', 'weights': 'uniform'}",55,0.4803985369105497,0.6460227482618404,0.5223258164189885,0.6354494605160192,0.5283162372841664,0.638797780549793,0.5014005401233181,0.6441033225324013,0.5025180663002765,0.6365686373710683,0.00022901630425240622,0.0004228561807335102,0.017019646335842267,0.004167980073190473
9,0.0017078399658203125,0.007353591918945313,0.5088745269539185,1.0,euclidean,7,distance,"{'n_neighbors': 7, 'metric': 'euclidean', 'weights': 'distance'}",53,0.48451267667117015,1.0,0.5205125681889922,1.0,0.5323507085474544,1.0,0.5039392696764214,1.0,0.5030574116855548,1.0,0.0002252070347768688,0.0004451906412782184,0.01636013722217213,0.0
10,0.0017198085784912109,0.009195804595947266,0.5179100199849286,0.6180294096272871,euclidean,9,uniform,"{'n_neighbors': 9, 'metric': 'euclidean', 'weights': 'uniform'}",41,0.49056166977990634,0.6252967660854302,0.527113012152145,0.6148364097874464,0.5428515434690218,0.6162777522002852,0.5056341816479235,0.6177268567985728,0.5233896928756467,0.6160092632647012,0.00022626355773037806,0.0031860180155865764,0.01808551873372458,0.0037483476666109747
11,0.0017101287841796875,0.0077396869659423825,0.5199721699401687,1.0,euclidean,9,distance,"{'n_neighbors': 9, 'metric': 'euclidean', 'weights': 'distance'}",38,0.4939612207911519,1.0,0.5276361787895872,1.0,0.546567465870972,1.0,0.5092845795615253,1.0,0.5224114046876072,1.0,0.00022849817704822197,0.00044583046738151904,0.017679314054445047,0.0
12,0.0017100334167480468,0.007893133163452148,0.5259024119814919,0.6077646986466977,euclidean,11,uniform,"{'n_neighbors': 11, 'metric': 'euclidean', 'weights': 'uniform'}",27,0.49889339048087744,0.612135514438136,0.5304843354153337,0.609681296484627,0.5533680056808062,0.6048269446699073,0.5142984642853445,0.6086606344564468,0.5324678640450977,0.6035191031843714,0.0002499778769522288,0.000405088514763548,0.01834446436920134,0.0031697179113639013
