,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4664955139160156,0.014203691482543945,0.5575912545955504,0.5744041006808545,0.01,2,0.1,polynomial,"{'alpha': 0.01, 'gamma': 0.1, 'degree': 2, 'kernel': 'polynomial'}",73,0.5594113261514029,0.5748055672338355,0.5850020684642872,0.5643695545258527,0.5398981247178684,0.5795526764643495,0.5593766498067032,0.5745905542205143,0.5442681038374906,0.5787021509597203,0.12206855486772325,0.0009281067925179114,0.015801305037657344,0.005401279952946808
1,0.33756518363952637,0.012934017181396484,0.5615698742709155,0.5838155602691552,0.01,2,0.3,polynomial,"{'alpha': 0.01, 'gamma': 0.3, 'degree': 2, 'kernel': 'polynomial'}",47,0.5645708620611924,0.5825391719511752,0.5831901841018776,0.5734229448939481,0.5420515459591658,0.5910622627955153,0.5665837909491066,0.5841417759580447,0.5514529882832352,0.5879116457470923,0.022427935723740418,0.0006033327195700727,0.014034953562680585,0.005983889235256057
2,0.3250440120697021,0.01255040168762207,0.5615064423912385,0.5869184967036538,0.01,2,0.5,polynomial,"{'alpha': 0.01, 'gamma': 0.5, 'degree': 2, 'kernel': 'polynomial'}",48,0.5684995165136377,0.5849756937762798,0.577502817486362,0.5763861034971293,0.5399355530274512,0.5949668677857396,0.5683249340663415,0.5872986453903838,0.5532693908623996,0.5909651730687364,0.0043920056067980745,0.00016824105650072786,0.01329985876934192,0.006261024989155576
3,0.32545042037963867,0.012864398956298827,0.5595436021028894,0.5883201448188051,0.01,2,0.7,polynomial,"{'alpha': 0.01, 'gamma': 0.7, 'degree': 2, 'kernel': 'polynomial'}",54,0.5699397062940068,0.5860929402424928,0.567882546585551,0.5776830767597767,0.5380900583609658,0.5966546129053176,0.5684155465396676,0.5888399804577884,0.5533901527342561,0.5923301137286503,0.0021457815116829697,0.0004440573116194314,0.012283711603141175,0.006386252346278317
4,0.3259617805480957,0.012910032272338867,0.5562423456222181,0.5891136875316189,0.01,2,0.9,polynomial,"{'alpha': 0.01, 'gamma': 0.9, 'degree': 2, 'kernel': 'polynomial'}",90,0.5702131290651009,0.5867258820226242,0.5534747455593826,0.5784020241150836,0.5366506654457608,0.5975711089138043,0.567893133984797,0.5897750823474359,0.5529800540560492,0.5930943402591466,0.003899913914971443,0.00038185114269846904,0.012108342148986597,0.006453717749845229
5,0.3236881732940674,0.012908172607421876,0.5541526176305289,0.5893971182963683,0.01,2,1,polynomial,"{'alpha': 0.01, 'gamma': 1, 'degree': 2, 'kernel': 'polynomial'}",104,0.5701273588414926,0.5869515454982833,0.5443586057356697,0.5786573634055224,0.5360386066274252,0.5978916602151755,0.5675455141864354,0.5901179982065408,0.5526930027616213,0.5933670241563194,0.0036341407245744817,8.448235772698388e-05,0.013120461684690932,0.0064770398210651356
6,0.5425708293914795,0.06453490257263184,0.5578497336764947,0.5820972402355498,0.01,3,0.1,polynomial,"{'alpha': 0.01, 'gamma': 0.1, 'degree': 3, 'kernel': 'polynomial'}",67,0.5595220752252235,0.5816620169748576,0.5778728770933217,0.5718164373551421,0.5409398448193161,0.5879973130576783,0.5617765002540307,0.5829617690401253,0.5491373709905814,0.5860486647499459,0.08930929150070602,0.006846371205240204,0.012497936621970109,0.005604575848461284
7,0.5429554939270019,0.06157355308532715,0.5545745095929234,0.5943042758822623,0.01,3,0.3,polynomial,"{'alpha': 0.01, 'gamma': 0.3, 'degree': 3, 'kernel': 'polynomial'}",101,0.5654431383987157,0.5912471239662734,0.558121573908514,0.5838338157742292,0.5383523188571193,0.6006493858761419,0.5602233908613082,0.5964035759473121,0.5507321259389599,0.5993874778473549,0.1108856058346276,0.002796575261523243,0.009386607495516132,0.006156023660234209
8,0.5647543907165528,0.06790499687194824,0.5488599278787654,0.5990865744067572,0.01,3,0.5,polynomial,"{'alpha': 0.01, 'gamma': 0.5, 'degree': 3, 'kernel': 'polynomial'}",128,0.5716383025889293,0.5947797901051375,0.5295219084140257,0.5893148400055574,0.5374389143161002,0.6054652214664862,0.5556768148626512,0.6016512906979828,0.5500236992121199,0.6042217297586221,0.10141780721465707,0.00785694449616855,0.014636100668697782,0.006126498391138657
9,0.623710823059082,0.06290755271911622,0.5449041403558079,0.602059318881167,0.01,3,0.7,polynomial,"{'alpha': 0.01, 'gamma': 0.7, 'degree': 3, 'kernel': 'polynomial'}",138,0.5775926061055595,0.5976658612260246,0.5119327049902314,0.5925207587762278,0.5356464991972192,0.6084700307000583,0.5511210469328276,0.6046792794037082,0.548227844553202,0.6069606642998158,0.07625265155539482,0.0039030797301368245,0.021405850601830506,0.006037734759336886
