,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4.785106658935547,0.00047936439514160154,0.5512552821006322,0.5606959151601943,logistic,1e-05,"(2,)",0.001,20000,sgd,"{'solver': 'sgd', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (2,)}",79,0.540844745819247,0.5602079173160637,0.5446070263414947,0.5686720080547938,0.5787945931139848,0.5566092635099189,0.531650307843758,0.5584090688061979,0.5603797373846764,0.5595813181139977,0.5154765570126014,2.8950966906812777e-05,0.016604836170455464,0.0041720238324350935
1,0.6380189895629883,0.0005331993103027344,0.5859028861889302,0.5958190034145278,logistic,1e-05,"(2,)",0.001,20000,lbfgs,"{'solver': 'lbfgs', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (2,)}",3,0.5610731324535145,0.6012145676685415,0.580794712708358,0.5968507600819437,0.6049539135603565,0.591701361474104,0.584558282206157,0.5969821173617067,0.5981343900162643,0.5923462104863431,0.1557600858652928,9.083311065424577e-05,0.015211636312536692,0.003479791239877959
2,0.6594354152679444,0.0004702091217041016,0.5449946200223812,0.5553640690152101,logistic,1e-05,"(2,)",0.01,20000,sgd,"{'solver': 'sgd', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (2,)}",91,0.549017997876359,0.5719438303017297,0.5440157538795964,0.5625520825599353,0.5766212980638808,0.5533475488713887,0.535470217472301,0.5591892027074468,0.5198478328197685,0.5297876806355502,0.15616541185085633,5.510306762666595e-06,0.018657264873348955,0.014137932429024069
3,0.7547685623168945,0.0004878997802734375,0.5853023051117934,0.5960926030290741,logistic,1e-05,"(2,)",0.01,20000,lbfgs,"{'solver': 'lbfgs', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (2,)}",14,0.5587530168357929,0.6012010856195706,0.5810115617069003,0.5968623579316399,0.6048209861578597,0.5916893688436426,0.5837863655756964,0.5983645178630189,0.5981395952827169,0.5923456848874986,0.24726274690852743,1.7924637955111213e-05,0.015945834492534214,0.0036132694571965845
4,0.17231521606445313,0.0004687786102294922,0.5153659419515273,0.524980133599288,logistic,1e-05,"(2,)",0.1,20000,sgd,"{'solver': 'sgd', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.1, 'hidden_layer_sizes': (2,)}",101,0.4538322502272446,0.49067233582164893,0.5354567733870306,0.5069338429794821,0.59238150088976,0.5725291252974987,0.4850016648388036,0.5215364517190368,0.5101575204147978,0.533228912178773,0.061919341488934604,4.937970529937598e-06,0.04705433034916087,0.027725444984519617
5,0.7121762275695801,0.000500631332397461,0.5853906276241073,0.5958340545758396,logistic,1e-05,"(2,)",0.1,20000,lbfgs,"{'solver': 'lbfgs', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.1, 'hidden_layer_sizes': (2,)}",12,0.5586503715447274,0.6013150012821016,0.580886617476418,0.5967889194012537,0.6046231016904082,0.5916631508886983,0.5842842914106046,0.5970493618526151,0.5985087559983785,0.5923538394545297,0.2873007941015576,1.314324450739775e-05,0.01599077692404847,0.0035195979959843186
6,5.665567636489868,0.00047602653503417967,0.5643260299008506,0.570733055127322,logistic,1e-05,"(3,)",0.001,20000,sgd,"{'solver': 'sgd', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (3,)}",59,0.5533539816507105,0.5717033983251378,0.5608467964489443,0.5724893000988331,0.5853464918061669,0.5635185999598963,0.5494006156573029,0.5753973700578294,0.5726822639411285,0.5705566071949135,0.613772603473587,4.517638886385732e-06,0.013167728464746816,0.003946170126289717
7,1.838427972793579,0.00048699378967285154,0.5829058388773054,0.6015922121046595,logistic,1e-05,"(3,)",0.001,20000,lbfgs,"{'solver': 'lbfgs', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (3,)}",32,0.5599271781798029,0.6071072861265056,0.5728364655263418,0.6050843908084924,0.5971756803075456,0.5993210189943763,0.5866543337491441,0.6041026612634798,0.5979355366236927,0.5923457033304429,1.4619525683342909,8.683936503539298e-06,0.014649112804045197,0.0052833692129327725
8,0.7244305610656738,0.00047702789306640624,0.5612737856728622,0.5724434863827926,logistic,1e-05,"(3,)",0.01,20000,sgd,"{'solver': 'sgd', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (3,)}",63,0.5577952718872071,0.5777660821310615,0.5557879439375601,0.5762751835862103,0.590042778588645,0.5665294484801773,0.5424163691705237,0.5738769349352596,0.5603265647803752,0.5677697827812543,0.06782694173726717,4.646165811352458e-06,0.015661090994256846,0.004514112390699673
9,1.921778392791748,0.0004933834075927735,0.5799673165036603,0.6025721330882081,logistic,1e-05,"(3,)",0.01,20000,lbfgs,"{'solver': 'lbfgs', 'activation': 'logistic', 'max_iter': 20000, 'alpha': 1e-05, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (3,)}",45,0.5548016721965622,0.6060656547068722,0.5714421362388831,0.6092474191774043,0.6010893970109554,0.5968523672172035,0.5809991368711445,0.6011667060321007,0.5915042402007562,0.5995285183074603,1.0197569076510722,1.2099455139421749e-05,0.01603930109798025,0.004488177256647173
