,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
66,0.4932580471038818,0.05967416763305664,0.56889451136964,0.5907172045281829,0.05,5,0.1,polynomial,"{'alpha': 0.05, 'gamma': 0.1, 'degree': 5, 'kernel': 'polynomial'}",93,0.566094148284674,0.5918133220970865,0.5938802474009035,0.5818425280272701,0.5396775505700039,0.597611131045148,0.569246077323796,0.5928040245622382,0.5755745332688229,0.589515016909172,0.010618108217547283,0.0025816240192930006,0.017495748786449685,0.005163093113006289
67,0.4886017799377441,0.05751471519470215,0.5681896423276203,0.6124321126065635,0.05,5,0.3,polynomial,"{'alpha': 0.05, 'gamma': 0.3, 'degree': 5, 'kernel': 'polynomial'}",99,0.5717709000908305,0.6122363078068462,0.5964457246860652,0.6026204637750935,0.5450700641378255,0.6212394893329449,0.5542347752196806,0.6152051146966959,0.5734267475036993,0.6108591874212368,0.01172993879757622,0.0024588059463497335,0.017708258410771945,0.006066964831653441
68,0.5300332069396972,0.06787877082824707,0.5503410356016769,0.6232151747792412,0.05,5,0.5,polynomial,"{'alpha': 0.05, 'gamma': 0.5, 'degree': 5, 'kernel': 'polynomial'}",157,0.5483654056853589,0.6228929898559443,0.604445209670623,0.6124518793091218,0.5162576167473717,0.6333082617321328,0.5457462559567805,0.6258123583475912,0.5368906899482503,0.6216103846514155,0.08694495532069438,0.015400659943611592,0.02930825141228621,0.006740080868692863
69,0.8858948230743409,0.06664462089538574,0.5348657063909261,0.6325100361750159,0.05,5,0.7,polynomial,"{'alpha': 0.05, 'gamma': 0.7, 'degree': 5, 'kernel': 'polynomial'}",163,0.5332414868787709,0.6310019374448148,0.5996391666513743,0.6222104079874919,0.484788593064324,0.6425308228419137,0.5335691111629534,0.6351957370756108,0.5230901741972083,0.6316112755252483,0.5836307845868757,0.009154728020624208,0.037003515616469106,0.006584734285265808
70,0.5928730010986328,0.059946870803833006,0.49918266794844596,0.639938019205273,0.05,5,0.9,polynomial,"{'alpha': 0.05, 'gamma': 0.9, 'degree': 5, 'kernel': 'polynomial'}",173,0.5320986418953906,0.6372469149453568,0.4911007251281838,0.6303261400878225,0.4565603790472105,0.6500427237994412,0.4941808105823008,0.6423481685979876,0.5219727830891443,0.6397261485957568,0.0598513090761123,0.0013597197191087386,0.026494703535023197,0.006443431174335653
71,0.5933785915374756,0.05959839820861816,0.4771046476962395,0.6431682098434901,0.05,5,1,polynomial,"{'alpha': 0.05, 'gamma': 1, 'degree': 5, 'kernel': 'polynomial'}",175,0.534028728984067,0.6399963987427006,0.4112275783403946,0.6337895157281215,0.444647404371769,0.6533463505401951,0.47044291664228544,0.645483593791423,0.5251766101426815,0.6432251904150101,0.06536777196153093,0.0014528655071240485,0.04688049525269377,0.0064339581382309155
72,0.404705286026001,0.01473541259765625,0.5562494635620701,0.565712505696818,0.07,2,0.1,polynomial,"{'alpha': 0.07, 'gamma': 0.1, 'degree': 2, 'kernel': 'polynomial'}",144,0.5562265362630943,0.5670534870495354,0.5873026773761234,0.55730497841402,0.5321563586004241,0.5719188260743475,0.551283032191048,0.567014417050399,0.5542787133796607,0.5652708198957881,0.0537307703566202,0.002548045014047371,0.017738825312741426,0.004751699025554553
73,0.3659513473510742,0.01327981948852539,0.5683508364286529,0.5814718799345814,0.07,2,0.3,polynomial,"{'alpha': 0.07, 'gamma': 0.3, 'degree': 2, 'kernel': 'polynomial'}",97,0.5619323637349951,0.5839077011823003,0.5939866303157828,0.5726962020852492,0.5461384506387092,0.5879458573354364,0.5670078560488846,0.5824447508573359,0.5726888814048928,0.5803648882125849,0.036926565066706135,0.0011040349399765157,0.015571788805016919,0.00504043725797256
74,0.350925350189209,0.013771295547485352,0.5722003695699855,0.5866072964453997,0.07,2,0.5,polynomial,"{'alpha': 0.07, 'gamma': 0.5, 'degree': 2, 'kernel': 'polynomial'}",67,0.564848531766573,0.5886031398243456,0.598134870539444,0.5774058505355405,0.5486337007363975,0.5939411944091473,0.5716675857936856,0.5874318314626472,0.5777171590138273,0.5856544659953178,0.011229747142742573,0.001342174395728892,0.01620342287206324,0.005367006629943334
75,0.34158968925476074,0.01367487907409668,0.5741076719409776,0.5896370979864589,0.07,2,0.7,polynomial,"{'alpha': 0.07, 'gamma': 0.7, 'degree': 2, 'kernel': 'polynomial'}",53,0.5673684618408741,0.5913218610316026,0.599860411649162,0.5801824406457491,0.5491706509082208,0.5975701231119815,0.5741567556687939,0.5902679567017606,0.579982079637837,0.5888431084412007,0.01161759503251692,0.0005420723655905145,0.016522630833134586,0.005589101210522934
76,0.3468048572540283,0.013132905960083008,0.5750287269202683,0.5916331456130275,0.07,2,0.9,polynomial,"{'alpha': 0.07, 'gamma': 0.9, 'degree': 2, 'kernel': 'polynomial'}",39,0.569186095440966,0.5931482757631686,0.6001345572647347,0.5820081704933862,0.5490719261966363,0.5999686677281102,0.5756886354158992,0.5920684285522388,0.5810624202831055,0.5909721855282333,0.019706338640219236,0.0005981279002585324,0.016583338014487695,0.005745311720480864
77,0.33270626068115233,0.013496208190917968,0.5752749218770986,0.5923851663061204,0.07,2,1,polynomial,"{'alpha': 0.07, 'gamma': 1, 'degree': 2, 'kernel': 'polynomial'}",37,0.569867174911798,0.5938456142296218,0.5999919957434552,0.5826902626606476,0.5489128432367341,0.6008740983680854,0.5762520873492785,0.5927330446050854,0.5813505081442273,0.5917828116671616,0.005381471405254015,0.0006345448452447288,0.016571084809666226,0.005808095777565722
78,0.5009873867034912,0.062423992156982425,0.5629869354480476,0.5760913127627754,0.07,3,0.1,polynomial,"{'alpha': 0.07, 'gamma': 0.1, 'degree': 3, 'kernel': 'polynomial'}",128,0.5585557092158004,0.5783460690192261,0.588919291948719,0.5678193879579128,0.5395424939409665,0.5823050251778352,0.5616656437542523,0.5768998574986994,0.5662515383804995,0.575086224160203,0.005187054743817998,0.0015709980411035284,0.01583772812763799,0.004770384374856715
